,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
224,877,tt0055336,75066,Le président,Le président,fr,"France, Italy","france, based on novel or book, politics, blackmail, prime minister, politician, deputy, market, parliament, flashback, lobby, 1950s, financial scandal, memories","Drame,Thriller",1961,1961-03-01,110,0.0,0.0,4.557,7.2,1114
237,946,tt0055526,46521,Tintin et le mystère de la Toison d'Or,Tintin et le Mystère de la Toison d'Or,fr,France,"athens, greece, treasure hunt, based on comic, inheritance, cargo ship, istanbul, turkey","Aventure,Comédie,Drame",1961,1961-12-06,104,0.0,0.0,8.152,6.1,1622
242,976,tt0055572,31522,Une femme est une femme,Une femme est une femme,fr,"France, Italy",,"Comédie,Drame,Romance",1961,1961-09-06,84,160000.0,100655.0,7.282,7.3,19668
244,987,tt0055599,48196,Vie privée,Vie privée,fr,"France, Italy","photographer, price of fame","Drame,Romance",1962,1962-01-31,103,0.0,0.0,3.65,5.6,1310
257,1029,tt0055747,8773,L'amour à vingt ans,L'Amour à 20 ans,fr,"Germany, France, Italy, Japan, Poland",,"Drame,Romance",1962,1962-06-22,110,0.0,0.0,4.248,7.2,2505
267,1068,tt0055827,43000,Le caporal épinglé,Le caporal épinglé,fr,France,,"Comédie,Drame,Guerre",1962,1962-05-23,90,0.0,0.0,2.18,7.0,1080
270,1071,tt0055832,26866,Cartouche,Cartouche,fr,"France, Italy","outlaw, soldier, stolen gold","Action,Aventure,Comédie",1962,1962-03-07,114,0.0,0.0,7.108,6.5,3060
273,1079,tt0055852,499,Cléo de 5 à 7,Cléo de 5 à 7,fr,"France, Italy","individual, paris, france, singer, cancer, woman director, day in a life, algerian war (1954-62)","Comédie,Drame,Musique",1962,1962-04-11,90,0.0,0.0,20.665,7.8,29016
280,1108,tt0055904,53386,Le diable et les dix commandements,Le Diable et les Dix Commandements,fr,"France, Italy",,"Comédie,Drame",1962,1962-09-14,126,0.0,0.0,3.815,6.7,1039
282,1113,tt0055910,43001,Les dimanches de Ville d'Avray,Les dimanches de Ville d'Avray,fr,"Austria, France","post-traumatic stress disorder (ptsd), paris, france, based on novel or book, war veteran, orphanage, sunday, tragedy, orphan, veteran, innocent person killed, secret relationship, walking in the park, amnesiac, crystal ball, complex relationship, childlike, fortune-telling, hebephilia, abandoned child, slight romance, age-gap relationship, trees, mature young girl",Drame,1962,1962-11-12,111,0.0,0.0,7.634,7.8,4929
291,1156,tt0056014,44522,Le gentleman d'Epsom,Le gentleman d'Epsom,fr,"France, Italy",,"Comédie,Crime",1962,1962-10-03,87,0.0,0.0,5.597,6.1,1056
311,1240,tt0056165,4195,Landru,Landru,fr,"Italy, France","death penalty, husband wife relationship, paris, france, court case, world war i, black humor, womanizer, social satire, serial killer, true crime, political intrigue , 1910s, treaty of versailles, french history, tragicomedy, political propaganda, based on real events","Biographie,Comédie,Crime,Drame",1963,1963-01-25,115,0.0,0.0,4.36,6.4,1276
335,1315,tt0056302,101183,L'oeil du malin,L'OEil du malin,fr,"Italy, France","adultery, journalist, blackmail, bavaria, germany, loser, cheat on husband, writer, voyeurism, report, professional jealousy",Drame,1962,1962-05-02,80,0.0,0.0,3.544,7.0,1121
361,1417,tt0056514,67556,Le soupirant,Le soupirant,fr,France,site gag,"Comédie,Drame",1962,1962-11-12,83,0.0,0.0,3.198,7.2,1140
375,1463,tt0056636,33998,Un singe en hiver,Un singe en hiver,fr,France,,"Comédie,Drame",1962,1962-05-11,105,0.0,0.0,6.959,7.4,3519
376,1482,tt0056663,1626,Vivre sa vie : film en douze tableaux,Vivre sa vie,fr,France,"prostitute, paris, france, philosophy, pimp, female protagonist, prostitution, free will, woman smoking, pinball machine, nouvelle vague",Drame,1962,1962-09-20,85,64000.0,24517.0,12.784,7.8,36187
389,1534,tt0056845,69729,L'aîné des Ferchaux,L'aîné des Ferchaux,fr,"France, Italy","new york city, banker, paris, france, river, motel, new orleans, louisiana, investigation, diner, exile, hypochondriac, scandal, travel, on the road, ex-boxer, desegregation, nightlife, 1960s","Aventure,Crime,Drame",1963,1963-09-25,102,0.0,0.0,5.603,6.5,1881
390,1535,tt0056846,60773,La baie des anges,La Baie des anges,fr,"France, Monaco","southern france, roulette, gambler","Drame,Romance",1963,1963-03-01,90,0.0,0.0,7.789,7.2,4431
397,1571,tt0056905,52705,Les carabiniers,Les carabiniers,fr,"France, Italy",,"Comédie,Drame,Guerre",1963,1963-05-31,80,0.0,0.0,4.744,6.7,3745
398,1572,tt0056906,61697,Carambolages,Carambolages,fr,France,"career, based on novel or book, black humor, ambition, firm","Comédie,Crime",1963,1963-05-15,88,0.0,0.0,2.684,6.1,1082
