,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
9603,31781,tt0409184,1826,Les poupées russes,Les poupées russes,fr,"France, United Kingdom","ship, london, england, paris, france, screenplay, screenwriter, ex-girlfriend, boat wedding, st. petersburg, russia, ballet dancer, ballet, author, wedding","Comédie,Drame,Romance",2005,2005-06-15,125,13000000.0,23727301.0,12.171,7.0,21570
9615,31820,tt0410639,1935,Les soeurs fâchées,Les soeurs fâchées,fr,France,"luxury, sibling relationship, paris, france, marriage crisis, province, frigidity, housewife, bourgeoisie, only child, gallery owner, author, decadence, woman director","Comédie,Drame",2004,2004-11-21,93,4277280.0,10467048.0,4.986,6.4,1910
9618,31824,tt0411098,24553,All the Invisible Children,Les enfants invisibles,fr,"France, Italy","prison, civil war, aids, gypsy, africa, junkie, survival, cruelty, homeless, woman director",Drame,2005,2005-09-01,124,0.0,0.0,3.973,7.4,4361
9619,31825,tt0411117,46280,L'annulaire,L'annulaire,fr,"France, Germany, United Kingdom","obsession, fetish, shoe, woman director",Drame,2005,2005-06-08,104,0.0,0.0,7.262,6.1,1297
9620,31826,tt0411118,11604,Anthony Zimmer,Anthony Zimmer,fr,France,"paris, france, money laundering, nice, seduction, criminal","Crime,Drame,Romance,Thriller",2005,2005-04-01,89,0.0,0.0,11.071,6.5,8686
9623,31831,tt0411270,1553,De battre mon coeur s'est arrêté,De battre mon cœur s'est arrêté,fr,France,"estate agent, concert, paris, france, parent child relationship, loss of loved one, classical music, chinese woman, piano lessons, squatter, pianist, life changing, piano, new life, life and career","Crime,Drame,Musique",2005,2005-03-16,108,6400000.0,9293785.0,8.61,7.2,20945
9624,31832,tt0411272,15362,L'ennemi public n°1,L'Ennemi public n° 1,fr,"Canada, France",,"Action,Biographie,Crime,Drame,Thriller",2008,2008-11-19,133,80000000.0,0.0,10.859,7.4,31694
9632,31847,tt0412298,13746,Tout pour plaire,Tout pour plaire,fr,"Belgium, France",woman director,Comédie,2005,2005-03-16,105,0.0,0.0,3.664,6.0,1024
9633,31850,tt0412422,49838,L'antidote,L'antidote,fr,France,,Comédie,2005,2005-03-30,107,0.0,0.0,5.123,5.3,1050
9634,31854,tt0412535,17350,Brice de Nice,Brice de Nice,fr,France,"surfer, french riviera, surf, riviera",Comédie,2005,2005-03-30,98,4289601.0,33026616.0,7.487,5.1,7940
9650,31896,tt0414852,10045,Banlieue 13,Banlieue 13,fr,France,"martial arts, street gang, paris, france, bomb, dystopia, ghetto, parkour, undercover cop, gang, drug dealing, suburb, fighting, hand to hand combat","Action,Crime,Science-Fiction,Thriller",2004,2004-11-09,84,12000000.0,9584131.0,19.785,7.1,75280
9652,31899,tt0414879,13730,La boîte noire,La Boîte noire,fr,France,,"Mystère,Thriller",2005,2005-11-02,88,0.0,0.0,6.98,5.7,1962
9661,31923,tt0415932,1622,Lemming,Lemming,fr,France,"suicide, prostitute, husband wife relationship, confidence, summer residence, housewife, engineer, murder, suburb, extramarital affair, boundary violations, manipulativeness","Drame,Mystère,Thriller",2005,2005-05-11,129,0.0,793604.0,6.192,6.7,5400
9680,31969,tt0417189,2566,Le temps qui reste,Le temps qui reste,fr,France,"sea, sibling relationship, waitress, paris, france, grandparent grandchild relationship, impotence, roadhouse, menage a trois, tumor, fashion photographer, cancer, male homosexuality, lgbt, fear of dying, gay theme",Drame,2005,2005-05-16,81,0.0,0.0,10.559,7.1,9373
9700,32011,tt0418758,17227,Jacquou le croquant,Jacquou le croquant,fr,France,"france, peasant, injustice, nobility, vengeance, ancient regime","Aventure,Drame",2007,2007-01-17,140,0.0,0.0,7.09,6.4,1909
9733,32072,tt0420555,5070,Combien tu m'aimes?,Combien tu m'aimes?,fr,France,"prostitute, relationship problems, sadomasochism, illegal prostitution, pigalle, paris, ex-husband ex-wife relationship","Comédie,Drame,Romance",2005,2005-10-26,95,0.0,0.0,13.972,5.6,7924
9747,32102,tt0421974,10798,Les chevaliers du ciel,Les Chevaliers du ciel,fr,"Belgium, France, Germany","france, air force, terrorism","Action,Aventure,Drame",2005,2005-10-15,102,19610000.0,10720864.0,12.859,5.7,4815
9749,32105,tt0422015,34186,Le couperet,Le couperet,fr,"Belgium, France, Spain","based on novel or book, economy, unemployment, unemployed","Comédie,Crime,Drame,Thriller",2005,2005-03-02,117,0.0,0.0,5.062,7.3,8590
9751,32110,tt0422133,27095,Douches froides,Douches froides,fr,France,"menage a trois, judo, poverty",Drame,2005,2005-05-14,102,0.0,0.0,7.566,6.0,2489
9755,32121,tt0422491,47143,L'intrus,L'intrus,fr,France,"heart transplant, woman director, estranged son",Drame,2004,2005-05-04,130,0.0,0.0,3.625,6.7,2211
9762,32152,tt0423877,14644,Boudu,Boudu,fr,France,,Comédie,2005,2005-03-09,104,0.0,0.0,6.141,5.2,1305
9767,32163,tt0424205,11661,Joyeux Noël,Joyeux Noël,fr,"Belgium, France, Germany, Romania, United Kingdom","world war i, based on true story, truce, opera singer, christmas, 1910s, trench warfare, no man's land, christmas eve","Drame,Guerre,Histoire,Musique,Romance",2005,2005-11-09,116,22000000.0,17709155.0,16.183,7.6,33003
9768,32165,tt0424237,46825,Lila dit ça,Lila dit ça,fr,"France, United Kingdom","paris, france, obsession, ghetto, teacher, love, gang, writer, voyeur, neighborhood, innocent, flirtation","Crime,Drame,Romance",2004,2005-01-26,89,0.0,0.0,6.286,6.8,5107
9770,32173,tt0424338,32390,Palais royal!,Palais royal !,fr,France,woman director,Comédie,2005,2005-11-23,110,0.0,0.0,7.574,5.6,2229
9789,32229,tt0425985,1899,Les filles du botaniste,Les filles du botaniste chinois,fr,"Canada, France","forbidden love, secret relationship, lesbian couple","Drame,Romance",2006,2006-04-26,105,3910000.0,0.0,5.14,6.6,2542
9811,32288,tt0428430,349,Crustacés & coquillages,Crustacés & coquillages,fr,France,"coming out, sexual identity, infidelity, friendship, new love, jealousy, france, aids, parent child relationship, holiday, portugal, eroticism, cruising, gay interest, crush, summer, male masturbation, masturbation, lgbt, pretending to be gay, gay theme","Comédie,Comédiemusicale,Romance",2005,2005-03-30,96,0.0,0.0,3.672,6.6,2126
9816,32306,tt0428803,1667,La marche de l'empereur,La marche de l'empereur,fr,"France, United States of America","parent child relationship, penguin, brood, autonomy, survival, wildlife, snow, antarctica, nature documentary","Documentaire,Famille",2005,2005-01-26,80,8000000.0,127392693.0,10.721,7.5,60860
9817,32307,tt0428856,16998,La moustache,La moustache,fr,France,"hotel, based on novel or book, escape, wife, bath, joke, marriage, health, conspiracy, dinner, co-workers relationship, anger, madness, photo, shave, moustache, mental, idea","Drame,Mystère,Thriller",2005,2005-06-09,87,0.0,0.0,8.497,6.6,5753
9819,32316,tt0429052,5171,Saint-Jacques... La Mecque,Saint-Jacques... La Mecque,fr,France,"spain, sibling relationship, hiking, site of pilgrimage, pilgrimage, family feud, inheritance fight, woman director, saint-jacques-de-compostelle, pèlerinage, camino de santiago","Comédie,Drame",2005,2005-10-12,110,0.0,0.0,7.479,6.3,1450
9829,32345,tt0430224,17960,L'enfer,L'enfer,fr,"France, Italy, Belgium, Japan",sister sister relationship,Drame,2005,2005-11-16,102,0.0,595618.0,5.174,6.8,2600
9837,32357,tt0430895,16147,Aurore,Aurore,fr,Canada,"court case, quebec, stepmother",Drame,2005,2005-07-08,115,6000000.0,0.0,8.42,7.3,1730
9845,32382,tt0431975,15702,Peindre ou faire l'amour,Peindre ou faire l'amour,fr,France,"husband wife relationship, painting, marriage, swinger","Comédie,Drame,Romance",2005,2005-08-24,100,0.0,0.0,7.654,6.0,1478
9846,32383,tt0431979,12455,Le petit lieutenant,Le petit lieutenant,fr,France,"homicide, le havre, france, recovering alcoholic, police academy, russian immigrant ","Crime,Drame",2005,2005-08-31,110,0.0,0.0,5.549,6.9,2671
9870,32434,tt0435479,32687,Gabrielle,Trois soirées,fr,"Germany, France, Italy","adultery, paris, france, marriage, letter, bourgeoisie, based on short story, high society, 1910s","Drame,Romance",2005,2005-09-28,90,0.0,0.0,3.586,6.3,2162
9888,32474,tt0436445,537,Je ne suis pas là pour être aimé,Je ne suis pas là pour être aimé,fr,France,"individual, dancing, secret love, dancing class, paris, france, nurse, parent child relationship, clerk, age difference, loss of loved one, old people's nurse, tango, chambers of a barrister, fiancé, dementia, heart disease, distraint, monopoly, indoor plant, author, wedding, dog","Comédie,Drame,Romance",2005,2005-10-12,93,0.0,0.0,3.297,7.1,1735
9889,32475,tt0436546,25197,Ma vie en l'air,Ma vie en l'air,fr,France,stewardess,"Comédie,Romance",2005,2005-06-17,103,0.0,0.0,7.76,6.7,2463
9897,32502,tt0437526,2002,Une vieille maîtresse,Une vieille maîtresse,fr,"France, Italy","love triangle, loss of loved one, lover (female), ancien régime, aristocrat, woman director","Drame,Romance",2007,2007-05-30,109,6000000.0,1831577.0,10.234,6.2,3888
9908,32522,tt0439123,19026,Azur et Asmar,Azur et Asmar,fr,"Belgium, France, Italy, Spain","fairy, tale, computer animation, myth","Animation,Aventure,Famille",2006,2006-05-21,99,0.0,0.0,12.309,7.4,3796
9924,32573,tt0442207,13728,Enfermés dehors,Enfermés dehors,fr,France,"suicide, police, sex shop",Comédie,2006,2006-04-05,90,6515167.0,3666789.0,6.241,6.2,2264
9928,32587,tt0443072,38049,Entre ses mains,Les kangourous,fr,France,woman director,Drame,2005,2005-09-11,90,0.0,0.0,3.804,6.3,1029
9936,32605,tt0443448,49219,O Jerusalem,Ô Jérusalem,fr,"France, Greece, Italy, United Kingdom","israel, male friendship, 1940s, interfaith, jerusalem","Drame,Histoire",2006,2006-10-17,100,24.0,0.0,2.838,6.0,1003
9955,32630,tt0443844,45126,Les amants réguliers,Les Amants réguliers,fr,France,,"Drame,Romance",2005,2005-09-30,183,0.0,0.0,3.111,6.8,3055
9956,32637,tt0444112,10051,Fauteuils d'orchestre,Fauteuils d'orchestre,fr,"Belgium, France","waitress, paris, france, bistrot, woman director","Comédie,Drame,Romance",2006,2006-02-15,106,0.0,0.0,7.304,6.7,4517
9957,32638,tt0444182,2016,Indigènes,Indigènes,fr,"Algeria, Belgium, France, Morocco","army, world war ii, algerian, infantry, northern africa, institutional discrimination, heroic bloodshed, appreciative","Drame,Guerre,Histoire",2006,2006-09-27,120,14500000.0,22963701.0,11.104,7.0,15334
9959,32645,tt0444519,13748,Un ticket pour l'espace,Un ticket pour l'espace,fr,France,,"Comédie,Science-Fiction",2006,2006-01-16,90,0.0,2.0,4.963,5.3,1332
9962,32655,tt0445054,39681,Les 7 jours du talion,Les 7 jours du talion,fr,Canada,"rape, police, kidnapping, revenge, torture, whipping, rape and revenge","Crime,Drame,Horreur,Thriller",2010,2010-06-22,105,0.0,0.0,14.361,6.5,8961
9964,32664,tt0445570,31329,Mon petit doigt m'a dit...,Mon petit doigt m'a dit...,fr,France,"suicide, husband wife relationship, based on novel or book, poison, investigation, retirement home, graveyard","Comédie,Mystère",2005,2005-04-13,105,0.0,0.0,5.293,5.8,1311
9978,32689,tt0446442,38848,Quelques jours en septembre,Quelques jours en septembre,fr,"Portugal, Italy, France",9/11,"Drame,Thriller",2006,2006-09-06,116,10000000.0,0.0,2.36,5.2,1890
9979,32691,tt0446463,14432,Si j'étais toi,Si j'étais toi,fr,Canada,"high school, religion and supernatural, reincarnation, car crash","Drame,Romance",2007,2007-10-10,93,0.0,0.0,6.68,6.2,4036
9982,32694,tt0446707,14649,Pars vite et reviens tard,Pars vite et reviens tard,fr,France,,"Crime,Drame,Thriller",2007,2007-01-24,116,0.0,0.0,5.239,5.6,1544
9992,32721,tt0448245,13739,Quatre étoiles,Quatre étoiles,fr,France,,Comédie,2006,2005-01-01,106,0.0,0.0,6.268,5.5,1363
10006,32750,tt0449851,21427,La doublure,La Boulette,fr,France,"adultery, paris, france, louvre museum, supermodel, belleville, valet, couple","Comédie,Drame",2006,2006-03-29,85,0.0,29326868.0,9.657,6.6,11209
10008,32756,tt0450188,1407,La Môme,La Môme,fr,"Czech Republic, France, United Kingdom","france, musical, biography, singer, female protagonist, audience, blindness, national anthem, french singer","Biographie,Drame,Musique",2007,2007-02-14,140,25000000.0,86274793.0,13.263,7.5,92061
10019,32776,tt0450664,10268,Je vous trouve très beau,La fille de l'Est,fr,France,"peasant, man looking for wife, romania, woman director","Comédie,Drame,Romance",2005,2005-11-07,97,0.0,25001149.0,6.369,6.7,3229
10020,32778,tt0450680,36143,Flandres,Flandres,fr,France,castration,"Drame,Guerre,Romance",2006,2006-08-30,91,0.0,0.0,4.102,6.5,3318
10021,32780,tt0450843,13742,Sheitan,Sheitan,fr,France,"cheating, slasher, devil, disco, club, farm house, old building, christmas, new french extremism","Comédie,Horreur,Thriller",2006,2006-02-01,95,0.0,0.0,10.137,5.6,9702
10067,32887,tt0455142,13679,Kirikou et les bêtes sauvages,Kirikou et les Bêtes sauvages,fr,France,"adult animation, woman director","Animation,Aventure,Famille,Fantastique",2005,2005-12-07,75,0.0,0.0,10.648,6.6,1845
10091,32923,tt0456123,8736,Dikkenek,Dikkenek,fr,"Belgium, France","male friendship, best friend, childhood friends",Comédie,2006,2006-06-21,84,0.0,0.0,10.099,6.8,5813
10093,32930,tt0456396,11490,L'enfant,L'enfant,fr,"Belgium, France","drug dealer, baby, parent child relationship, pregnant minor, petty crimes","Crime,Drame,Romance",2005,2005-10-19,95,0.0,5507396.0,8.042,7.4,19699
10120,33004,tt0459880,3542,Lady Chatterley,Lady Chatterley et l'homme des bois,fr,"Belgium, France, United Kingdom","new love, baby, country house, eroticism, wheelchair, bourgeoisie, longing, forbidden love, surprise, wedding, extramarital affair, woman director","Drame,Romance",2006,2006-11-01,168,0.0,0.0,8.75,6.7,4854
10129,33031,tt0460858,36727,La maison du bonheur,La Maison du bonheur,fr,France,,Comédie,2006,2006-06-07,99,10000000.0,0.0,6.407,5.5,1731
10153,33076,tt0462667,16276,Les brigades du Tigre,Les Brigades du Tigre,fr,France,"france, police, anarchist, public loan","Action,Aventure,Crime",2006,2006-04-14,125,0.0,0.0,7.837,5.8,1761
10154,33078,tt0462683,12840,L'homme de sa vie,L'homme de sa vie,fr,France,"southern france, male homosexuality, woman director","Comédie,Drame,Romance",2006,2006-09-08,114,0.0,0.0,2.556,6.6,1142
10158,33087,tt0463352,14408,La personne aux deux personnes,La personne aux deux personnes,fr,France,"double life, singer","Comédie,Fantastique,Musique,Science-Fiction",2008,2008-06-18,84,5105644.0,2180120.0,3.311,5.7,1133
10159,33089,tt0463381,32604,Transylvania,Transylvania,fr,France,,Drame,2006,2006-09-09,103,0.0,0.0,2.863,6.7,2716
10160,33091,tt0463486,12713,L'ivresse du pouvoir,La comédie du pouvoir,fr,"France, Germany","husband wife relationship, judge, financial transactions",Drame,2006,2006-02-16,110,0.0,8987781.0,3.986,6.3,3116
10162,33095,tt0463872,2395,Astérix aux jeux olympiques,Astérix aux Jeux olympiques,fr,"Belgium, France, Germany, Italy, Spain","colosseum, wild boar, magic, competition, olympic games, greece, emperor, horse, roman, governance, based on comic","Aventure,Comédie,Famille,Fantastique",2008,2008-01-30,116,97250400.0,132900000.0,21.301,5.2,33551
10171,33115,tt0464828,31325,Quand j'étais chanteur,Quand j'étais chanteur,fr,France,"orchestra, musical, singer","Drame,Musique,Romance",2006,2006-09-13,112,0.0,0.0,6.717,6.4,2343
10172,33116,tt0464913,15152,"OSS 117: Le Caire, nid d'espions","OSS 117 : Le Caire, nid d'espions",fr,France,"france, cairo, nazi, espionage, secret agent","Action,Aventure,Comédie,Crime",2006,2006-04-19,99,0.0,0.0,14.299,7.0,24014
10175,33125,tt0465203,10832,Ils,Ils,fr,"France, Romania","forest, romania, underground tunnel","Horreur,Thriller",2006,2006-07-19,77,0.0,2727971.0,8.246,6.4,32852
10218,33229,tt0470715,39688,Comme un frère,Comme un frère,fr,France,"france, paris, france, male friendship, gay club, gay interest, twenty something, gay theme","Drame,Romance",2005,2005-04-17,54,0.0,0.0,2.577,5.7,1051
10246,33281,tt0473753,11227,Angel-A,Alerte rouge,fr,France,"paris, france, angel, seine","Comédie,Drame,Fantastique,Romance",2005,2005-12-21,91,15000000.0,9995168.0,11.329,7.0,36367
10247,33289,tt0473829,13043,Camping,Camping,fr,France,"new love, conflict, childhood friends",Comédie,2006,2006-04-26,95,0.0,0.0,7.356,5.1,4040
10250,33310,tt0475169,6077,13 Tzameti,13 Tzameti,fr,France,"france, repair, test of courage, overdose, munition, black and white, drugs, gay theme, death game","Action,Crime,Drame,Thriller",2005,2005-09-01,93,0.0,767311.0,6.762,7.3,18229
10251,33312,tt0475224,17367,Belle toujours,Belle toujours,fr,"France, Portugal",,"Drame,Musique",2006,2006-09-08,68,0.0,0.0,1.258,6.3,1141
10284,33378,tt0477988,13713,Jean-Philippe,Jean-Philippe,fr,France,,"Comédie,Fantastique,Musique",2006,2006-04-05,90,0.0,0.0,5.541,6.2,2077
10294,33404,tt0478337,8421,"Zidane, un portrait du 21e siècle","Zidane, un portrait du 21e siècle",fr,"France, Iceland","sports, goat, football (soccer), french algerian, équipe de france, zinedine zidane, real de madrid","Biographie,Documentaire,Sport",2006,2006-05-24,90,0.0,0.0,4.019,6.2,3133
10295,33409,tt0478566,19100,Nos jours heureux,Nos jours heureux,fr,France,,"Comédie,Famille",2006,2006-06-28,103,7508646.0,10890811.0,9.808,6.8,5063
10296,33415,tt0478724,19955,Prête-moi ta main,L'amour est un bouquet de violettes,fr,France,"family, fake wedding, humour","Comédie,Romance",2006,2006-11-01,90,0.0,0.0,8.317,6.7,6720
10305,33444,tt0479647,15049,"Bon Cop, Bad Cop","Bon Cop, Bad Cop",fr,Canada,"canada, police, murder, killer, buddy cop","Action,Comédie,Crime",2006,2006-07-06,117,8000000.0,12671300.0,7.837,6.7,13362
10324,33498,tt0482088,6691,Hors de prix,Hors de prix,fr,France,"france, broken engagement, greed, gigolo, bartender, engagement, beautiful  woman, waiter, luxury hotel, fortune hunter","Comédie,Drame,Romance",2006,2006-12-13,106,10000000.0,28041861.0,10.226,7.0,33677
10346,33555,tt0485241,1254,"Je vais bien, ne t'en fais pas","Je vais bien, ne t'en fais pas",fr,France,"sibling relationship, france, love triangle, parent child relationship, loss of loved one, lie, leaving one's family, normandy, france, postcard, anorexia, twins, family",Drame,2006,2006-09-06,92,0.0,0.0,13.131,7.3,11508
10353,33587,tt0486474,21382,Le serpent,Le serpent,fr,France,,Thriller,2006,2007-01-10,119,0.0,0.0,6.466,6.5,2699
10358,33598,tt0486636,4171,Odette Toulemonde,Odette Toulemonde,fr,"Belgium, France","new love, based on novel or book, parent child relationship, department store, unexpected happiness, door, closing time, fate, author","Comédie,Drame",2006,2007-02-07,100,0.0,0.0,6.728,6.3,2397
10361,33608,tt0486751,12838,Chacun sa nuit,Chacun sa nuit,fr,France,"france, musician, bisexuality, investigation, sadomasochism, relationship, incest, lgbt",Drame,2006,2006-07-21,95,0.0,0.0,4.822,5.7,1437
10366,33617,tt0487273,38282,Les témoins,Les témoins,fr,France,"prostitute, sibling relationship, paris, france, aids, marseille, france, cruising, sexual promiscuity, hiv, male homosexuality, author, doctor, opera singer, 1980s","Drame,Romance",2007,2007-03-07,112,0.0,0.0,4.382,6.9,2886
10367,33619,tt0487419,8280,La graine et le mulet,La graine et le mulet,fr,France,"infidelity, immigrant, solidarity, cooking, restaurant, docker, belly dancing, family clan, family conflict, ex-wife",Drame,2007,2007-12-12,151,0.0,0.0,11.789,7.4,8049
10368,33624,tt0487503,8436,La tourneuse de pages,La tourneuse de pages,fr,France,"stage, conservatory, babysitter, pianistin, entrance examination, revenge, lgbt, older woman younger woman relationship","Drame,Musique,Thriller",2006,2006-08-09,85,0.0,0.0,8.482,7.0,7446
10369,33625,tt0487504,13747,Truands,Truands,fr,France,,"Crime,Thriller",2007,2007-01-17,107,0.0,0.0,6.738,5.5,1607
10396,33691,tt0490234,13726,Un secret,Un secret,fr,France,,"Drame,Guerre",2007,2007-10-03,105,0.0,0.0,8.397,6.8,3376
10406,33719,tt0492330,27614,Poltergay,Poltergay,fr,France,"poltergeist, haunted house, lgbt, ghost, horror comedy, gay theme","Comédie,Fantastique,Horreur",2006,2006-10-25,93,0.0,0.0,7.271,5.5,1294
10444,33835,tt0498120,24170,Coeurs,Petites peurs partagées,fr,"France, Italy",,"Drame,Romance",2006,2006-11-22,120,0.0,0.0,4.795,6.9,4195
10459,33879,tt0756648,5139,Le renard et l'enfant,Le Renard et l'Enfant,fr,France,"season, human animal relationship, fox, forest, brown bear, little girl","Aventure,Drame,Famille",2007,2007-12-27,92,13000000.0,29610210.0,7.593,6.8,4475
10482,33920,tt0762142,35541,Les 3 p'tits cochons,Les 3 p'tits cochons,fr,Canada,"adultery, infidelity, sibling relationship, cheating, quebec, gay theme",Comédie,2007,2007-08-10,124,0.0,4400000.0,1.912,6.9,1434
10488,33934,tt0765141,60531,La question humaine,La question humaine,fr,France,,"Drame,Histoire,Musique,Thriller",2007,2007-09-12,143,0.0,0.0,1.657,6.2,1249
10501,33963,tt0769508,14654,Dans Paris,Dans Paris,fr,France,,"Comédie,Drame,Romance",2006,2006-10-04,89,0.0,0.0,4.694,6.3,4331
10514,33995,tt0775480,44588,Hellphone,Hellphone,fr,France,,"Comédie,Fantastique,Horreur,Mystère",2007,2007-03-28,98,0.0,0.0,7.037,5.1,2053
10516,33998,tt0775489,41201,L'illusionniste,L'illusionniste,fr,"France, United Kingdom","stage, edinburgh, scotland, disillusionment, aftercreditsstinger, magician, adult child friendship","Animation,Drame,Fantastique",2010,2010-06-16,80,18000000.0,6007194.0,12.458,7.4,36965
10522,34008,tt0778784,4516,Mon meilleur ami,Mon meilleur ami,fr,France,"bet, friendship, taxi driver, auction, risk, vase, friends, football (soccer)",Comédie,2006,2006-08-20,90,0.0,0.0,6.261,6.6,6982
10542,34042,tt0781435,46335,Ne touchez pas la hache,Ne touchez pas la hache,fr,"France, Italy","paris, france, based on novel or book, general, kidnapping, obsession, secret society, unrequited love, period drama, high society, duchess, 19th century, vengeance, spurned man, convent","Drame,Musique,Romance",2007,2007-03-28,137,0.0,0.0,3.1,6.5,1486
10546,34055,tt0783530,54865,Je te mangerais,Je te mangerais,fr,France,woman director,"Drame,Musique",2009,2009-03-11,96,3000000.0,0.0,5.882,5.6,1375
10562,34081,tt0790602,16143,Nitro,Absolute Race,fr,Canada,"transplantation, quebec, street race, transplant, race, road movie, illegal","Action,Drame,Thriller",2007,2007-06-29,105,0.0,0.0,3.194,5.3,1857
10578,34105,tt0792948,19976,Les anges exterminateurs,Les anges exterminateurs,fr,France,"hotel room, self-destruction, eroticism, restaurant, lgbt, ghost, exhibitionism, transgression, intimacy, angel of death","Drame,Fantastique",2006,2006-09-13,100,0.0,154210.0,8.324,5.4,3478
10579,34108,tt0792965,2882,"Ensemble, c'est tout","Ensemble, c'est tout",fr,France,"paris, france, grandparent grandchild relationship, cleaning lady, roommate, fractured leg, designer, charity, kiss, lovers, flu","Drame,Romance",2007,2007-03-21,97,0.0,0.0,11.798,6.7,12721
10580,34109,tt0792966,17460,La faute à Fidel!,La faute à Fidel!,fr,"France, Italy",woman director,"Drame,Histoire",2006,2006-11-29,99,0.0,0.0,3.025,7.5,5247
10581,34115,tt0792986,16137,Peur(s) du noir,Peur(s) du noir,fr,France,"nightmare, bullying, cowardliness, adult animation, woman director","Animation,Horreur,Mystère",2007,2007-10-21,83,0.0,0.0,4.902,6.6,3272
10582,34117,tt0792992,34655,Tous à l'Ouest: Une aventure de Lucky Luke,Tous à l'Ouest : Une aventure de Lucky Luke,fr,France,,"Animation,Aventure,Comédie,Western",2007,2007-07-29,90,0.0,0.0,4.144,6.3,1690
10587,34130,tt0795370,59918,Le deuxième souffle,Le Deuxième Souffle,fr,France,"paris, france, heist, remake","Crime,Drame,Mystère,Thriller",2007,2007-10-24,155,34000000.0,0.0,4.112,5.7,1296
10596,34146,tt0796335,21494,Molière,Molière,fr,France,playwright,"Biographie,Comédie,Drame,Romance",2007,2007-01-31,120,0.0,0.0,12.159,7.1,6664
10625,34211,tt0804540,2335,Taxi 4,T4xi,fr,France,"marseille, france","Action,Comédie,Crime",2007,2007-02-10,91,17500000.0,65125001.0,13.44,5.6,31681
10633,34226,tt0806029,33996,L'affaire Farewell,The Farewell Affair,fr,France,"france, espionage, cold war, soviet union, iron curtain, kgb, based on true story, double agent","Drame,Romance,Thriller",2009,2009-09-23,113,0.0,0.0,8.838,6.9,7071
10639,34248,tt0808230,14791,Les deux mondes,Les Deux Mondes,fr,France,,"Comédie,Fantastique",2007,2007-11-21,105,0.0,0.0,8.925,5.6,1518
10644,34256,tt0808339,14400,Largo Winch,Largo Winch,fr,"Belgium, France, Hong Kong","based on comic, murder, hong kong, based on graphic novel, millionaire","Action,Aventure,Drame,Thriller",2008,2008-12-17,108,25412760.0,0.0,9.304,6.4,15175
10646,34259,tt0808417,2011,Persepolis,Persepolis,fr,"France, United States of America","puberty, civil war, parent child relationship, 1970s, totalitarian regime, punk rock, bomb alarm, coming of age, orient, adult animation, punk band, woman director, iranian revolution","Animation,Biographie,Drame",2007,2007-06-27,96,7300000.0,0.0,13.443,8.0,102249
10654,34282,tt0810809,61783,Congorama,Congorama,fr,"Canada, Belgium, France","inventor, quebec","Comédie,Drame",2006,2006-05-25,105,5000000.0,0.0,3.037,7.1,1230
10672,34324,tt0814685,13492,Frontière(s),Frontière(s),fr,"Switzerland, France","nazi, chase, sadism, psychopath, fascism, bisexuality, exploitation, blood splatter, gore, mad scientist, beating, marijuana, dress, redneck, mercilessness, impalement, dinner, torture, corpse, execution, explosion, cruelty, cannibal, death, dismemberment, screaming, ruthlessness, bloodbath, mad family, new french extremism, cannibalism, video camera, desperation, sinister","Action,Drame,Horreur,Thriller",2007,2007-07-01,108,3000000.0,0.0,13.885,6.2,29635
10673,34330,tt0814768,13045,Le prix à payer,Le prix à payer,fr,France,woman director,Comédie,2007,2007-04-04,95,0.0,0.0,5.104,5.6,1230
10695,34372,tt0819953,24173,L'âge des ténèbres,L'âge des ténèbres,fr,"Canada, France","routine, knight, phantasm","Comédie,Drame,Fantastique",2007,2007-09-26,104,0.0,0.0,4.346,6.8,3250
10705,34399,tt0823240,45458,Les amours d'Astrée et de Céladon,Les amours d'Astrée et de Céladon,fr,"France, Italy, Spain",,"Comédie,Drame,Romance",2007,2007-09-02,109,0.0,0.0,5.65,6.3,1758
10706,34405,tt0824330,8266,Les femmes de l'ombre,Les Femmes de l'ombre,fr,France,"london, england, loss of loved one, resistance, world war ii, normandy, france, d-day, commando, 1940s","Drame,Guerre,Histoire",2008,2008-02-08,148,0.0,0.0,10.681,6.7,8118
10711,34413,tt0825239,21946,Contre-enquête,Contre-enquête,fr,France,"investigation, serial killer","Crime,Thriller",2007,2007-03-07,85,0.0,8029345.0,10.407,6.7,3905
10712,34414,tt0825241,24171,Daratt,Saison sèche,fr,"Chad, France, Austria, Belgium",revenge,"Action,Drame,Thriller",2006,2006-09-01,96,0.0,0.0,2.011,6.9,1015
10713,34415,tt0825244,4519,Dialogue avec mon jardinier,Dialogue avec mon jardinier,fr,France,"male friendship, botanist, painter","Comédie,Drame",2007,2007-06-06,109,0.0,0.0,5.882,7.1,3856
10714,34417,tt0825248,13507,L'ennemi intime,L'ennemi intime,fr,"France, Morocco","platoon, 1950s, algerian war (1954-62)","Drame,Guerre,Histoire",2007,2007-10-03,111,9780000.0,0.0,7.458,6.9,3504
10715,34431,tt0826711,12198,Le voyage du ballon rouge,À la recherche du ballon rouge,fr,"France, Taiwan","paris, france, single parent, nanny, neglect, babysitter, brussels, belgium, balloon, shadow puppet","Drame,Famille",2007,2007-05-17,115,3000000.0,0.0,5.372,6.5,4231
