,Unnamed: 0,nconst,Nom,birthYear,deathYear,commeRealisateur,commeActeur
41157,41157,nm3564996,Oliver Hermanus,1983,\N,"tt1922721,tt9051908",pas_de_film
41158,41158,nm0057106,David Barrett,\N,\N,tt1925431,pas_de_film
41159,41159,nm0704675,Richard Raaphorst,\N,\N,tt1925435,pas_de_film
41160,41160,nm0608936,Craig Moss,\N,\N,tt1928330,pas_de_film
41161,41161,nm0399655,John Huddles,\N,\N,tt1928340,pas_de_film
41162,41162,nm0825842,Hans Steinbichler,1966,\N,tt19287686,pas_de_film
41163,41163,nm1931713,Colin Krisel,\N,\N,tt1929297,pas_de_film
41164,41164,nm1071314,James Krisel,\N,\N,tt1929297,pas_de_film
41165,41165,nm1986065,Dante Ariola,\N,\N,tt1930546,pas_de_film
41166,41166,nm4458549,Jay Bulger,\N,\N,tt1931388,pas_de_film
41167,41167,nm0951698,Justin Zackham,\N,\N,tt1931435,pas_de_film
41168,41168,nm0284524,Naomi Foner,1946,\N,tt1931602,pas_de_film
41169,41169,nm1135811,Marlin Darrah,\N,\N,tt19316094,pas_de_film
41170,41170,nm0089742,Stuart Blumberg,1969,\N,tt1932718,pas_de_film
41171,41171,nm0895835,Daniele Vicari,1967,\N,tt1934234,pas_de_film
41172,41172,nm0537550,Michael Mailer,1964,\N,tt1935089,pas_de_film
41173,41173,nm2486607,Seung-wook Byeon,\N,\N,tt1935094,pas_de_film
41174,41174,nm0667650,Frank Pavich,\N,\N,tt1935156,pas_de_film
41175,41175,nm1802378,Mira Thiel,1978,\N,tt19352286,pas_de_film
41176,41176,nm1310794,Ramaa Mosley,1978,\N,tt1935902,pas_de_film
41177,41177,nm1623943,John Burgess,\N,\N,tt1937269,pas_de_film
41178,41178,nm3292009,Kang Hyoung-chul,\N,\N,tt1937339,pas_de_film
41179,41179,nm0001064,Jason Connery,1963,\N,"tt1937506,tt3467914",pas_de_film
41180,41180,nm1132447,Julien Hervé,\N,\N,"tt19381382,tt6832138",pas_de_film
41181,41181,nm7435284,Brock Heasley,\N,\N,tt19406606,pas_de_film
41182,41182,nm1122217,Des Doyle,\N,\N,tt1942971,pas_de_film
41183,41183,nm2939767,Nick Bruno,\N,\N,"tt19500164,tt5814534",pas_de_film
41184,41184,nm0702863,Troy Quane,\N,\N,"tt19500164,tt5814534",pas_de_film
41185,41185,nm2866226,Luke Snellin,1986,\N,tt1950235,pas_de_film
41186,41186,nm1673756,Jan-Ole Gerster,1978,\N,"tt1954701,tt7275830",pas_de_film
41187,41187,nm3609341,Jen Soska,1983,\N,"tt1959332,tt5628902",pas_de_film
41188,41188,nm3609300,Sylvia Soska,1983,\N,"tt1959332,tt5628902",pas_de_film
41189,41189,nm1514493,Stobe Harju,1978,\N,tt1959409,pas_de_film
41190,41190,nm0144018,Xan Cassavetes,1965,\N,tt1959438,pas_de_film
41191,41191,nm1689712,Mali Elfman,\N,\N,tt19595494,pas_de_film
41192,41192,nm3819217,Rose Glass,1990,\N,"tt19637052,tt7557108",pas_de_film
41193,41193,nm0584974,Amanda Micheli,\N,\N,tt19637852,pas_de_film
