,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes
14057,nm0613130,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1960.0,12682.0
14058,nm0613147,2,0,0,0,0,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,3,1,0,5,2005.0,5894.0
14059,nm0613197,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1990.0,31516.0
14060,nm0613284,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,2086.0
14061,nm0613349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2006.0,345.0
14062,nm0613472,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2008.0,1682.0
14063,nm0613561,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1991.0,7805.0
14064,nm0613563,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1998.0,3308.0
14065,nm0613577,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990.0,284.0
14066,nm0613598,2,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1994.0,5609.0
14067,nm0613685,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1988.0,1569.0
14068,nm0613837,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1998.0,7320.0
14069,nm0613917,0,0,0,1,0,4,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1984.0,917.0
14070,nm0613919,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1998.0,2265.0
14071,nm0613997,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1985.0,18470.0
14072,nm0614026,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995.0,77165.0
14073,nm0614165,5,0,0,1,2,3,0,2,0,17,0,1,2,4,3,0,6,1,5,0,13,0,0,21,2012.0,159612.0
14074,nm0614220,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2008.0,290056.0
14075,nm0614424,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1970.0,1656.0
