,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
1450,nm0116263,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011.0,1767.0
1451,nm0116497,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,3,1998.0,24211.0
1452,nm0116511,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011.0,3509.0
1453,nm0116663,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1974.0,2060.0
1454,nm0116753,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1978.0,1448.0
1455,nm0117698,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2013.0,3044.0
1456,nm0117709,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021.0,4199.0
1457,nm0117929,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2001.0,1319.0
1458,nm0118111,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005.0,1331.0
1459,nm0118176,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2000.0,8163.0
1460,nm0118333,0,0,5,5,0,5,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,5,2012.0,257032.0
1461,nm0118345,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2003.0,2870.0
1462,nm0118348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2011.0,4553.0
1463,nm0118809,1,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,1997.0,283.0
1464,nm0119106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,1988.0,23892.0
1465,nm0119613,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009.0,15512.0
1466,nm0119946,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2005.0,7578.0
