,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
0,nm0000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1977.0,6563.0
1,nm0000008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1961.0,14074.0
2,nm0000018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1975.0,2547.0
3,nm0000019,0,0,0,2,1,11,0,0,0,14,0,8,0,1,1,2,1,2,0,0,0,0,0,15,1974.0,24088.0
4,nm0000032,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1977.0,1528.0
5,nm0000033,0,0,0,0,0,2,0,3,0,7,0,0,0,0,3,0,4,2,0,0,6,0,0,7,1967.0,162902.0
6,nm0000037,1,0,0,1,0,4,2,0,1,1,1,0,0,0,0,2,0,2,0,0,0,0,1,5,1969.0,5956.0
7,nm0000040,0,0,0,3,1,2,0,2,0,8,0,0,4,1,1,0,2,2,2,0,2,0,0,9,1974.0,555423.0
8,nm0000041,4,0,0,0,0,3,0,2,0,11,0,1,3,2,0,0,1,0,0,0,4,0,0,11,1975.0,46138.0
9,nm0000044,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1974.0,1420.0
10,nm0000056,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1976.0,3310.0
11,nm0000069,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1965.0,2202.0
12,nm0000076,0,0,0,0,2,8,0,5,0,20,0,0,1,4,0,0,2,13,1,0,2,0,0,21,1972.0,13385.0
13,nm0000078,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1964.0,16318.0
14,nm0000080,0,0,0,0,0,1,0,1,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,4,1980.0,15748.0
15,nm0000086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980.0,5377.0
16,nm0000091,3,0,0,2,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1985.0,13064.0
17,nm0000095,1,0,0,1,0,45,1,11,0,26,0,5,1,0,0,3,4,28,1,0,3,0,0,51,1995.0,68084.0
18,nm0000101,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991.0,28528.0
19,nm0000102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2005.0,3452.0
20,nm0000104,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2002.0,4426.0
21,nm0000106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2009.0,71212.0
22,nm0000108,11,0,4,8,2,4,0,4,1,7,3,7,1,2,0,1,1,2,4,1,6,0,0,20,2004.0,159062.0
23,nm0000110,2,0,0,2,3,6,2,5,0,16,1,2,1,2,2,2,5,9,1,0,5,0,0,19,2006.0,119852.0
24,nm0000114,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2000.0,13800.0
25,nm0000116,7,0,0,6,0,1,0,0,1,2,1,2,0,0,1,0,1,1,6,0,5,0,0,9,1997.0,749777.0
26,nm0000118,6,0,0,3,0,3,0,1,0,2,0,3,0,0,10,0,3,2,8,0,9,0,0,17,1987.0,118011.0
27,nm0000122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1967.0,7230.0
28,nm0000123,1,0,0,1,4,4,0,2,0,9,0,0,1,3,0,0,1,1,1,1,2,0,0,9,2013.0,90135.0
29,nm0000126,2,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,0,1,1,0,0,0,4,5,2008.0,99911.0
30,nm0000127,0,0,0,0,0,3,0,2,0,2,0,2,0,0,15,1,8,0,2,0,6,0,0,17,1992.0,101944.0
31,nm0000128,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2018.0,46870.0
32,nm0000134,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2000.0,140078.0
33,nm0000136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,11049.0
34,nm0000141,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004.0,9999.0
35,nm0000142,12,0,0,7,9,3,0,15,0,37,0,1,4,4,0,3,6,5,1,1,14,0,5,40,1997.0,144719.0
36,nm0000146,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2014.0,20600.0
37,nm0000149,1,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,4,2003.0,48017.0
38,nm0000154,3,0,0,1,2,0,0,1,0,6,0,0,2,3,0,0,0,0,0,0,1,0,0,6,2006.0,398842.0
39,nm0000158,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2004.0,73786.0
40,nm0000160,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2020.0,2504.0
41,nm0000163,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2012.0,21752.0
42,nm0000165,8,0,0,7,9,10,0,4,3,19,1,3,0,5,0,2,5,4,2,1,8,0,2,30,2002.0,167113.0
43,nm0000166,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2010.0,7442.0
44,nm0000169,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2010.0,39664.0
45,nm0000175,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1986.0,37665.0
46,nm0000180,0,0,0,2,1,0,0,0,0,4,0,0,2,3,0,0,0,2,0,0,0,0,0,4,1970.0,110792.0
47,nm0000184,5,0,0,4,0,1,0,0,0,2,0,4,0,0,0,0,0,0,5,0,1,0,0,6,1988.0,698029.0
48,nm0000185,5,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5,2010.0,3564.0
49,nm0000186,1,0,0,1,2,0,0,2,0,9,0,2,0,1,4,0,6,1,1,0,6,0,0,11,1993.0,161883.0
50,nm0000187,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,2,2010.0,8268.0
51,nm0000191,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2016.0,18785.0
52,nm0000195,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990.0,23019.0
53,nm0000197,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,3,1980.0,8729.0
54,nm0000198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,10516.0
55,nm0000199,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2004.0,5479.0
56,nm0000200,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2003.0,64599.0
57,nm0000202,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2014.0,3179.0
58,nm0000206,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013.0,41581.0
59,nm0000209,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1995.0,43202.0
60,nm0000217,0,0,0,1,10,4,1,13,8,26,1,0,0,6,0,5,1,6,0,2,7,0,0,35,1994.0,315633.0
61,nm0000228,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2000.0,12244.0
62,nm0000229,12,0,1,15,5,3,1,4,0,19,3,5,5,10,2,0,3,3,9,0,5,0,0,34,1998.0,441652.0
63,nm0000230,3,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,4,2,0,0,7,1993.0,221875.0
64,nm0000231,3,0,0,1,7,1,0,6,2,19,0,0,5,10,1,1,0,2,0,1,9,0,0,21,1999.0,109066.0
65,nm0000233,6,0,0,1,0,4,0,8,0,7,0,0,1,0,1,0,1,0,0,0,11,0,2,15,2003.0,823026.0
66,nm0000241,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996.0,28959.0
67,nm0000243,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,4,2012.0,57056.0
68,nm0000247,8,0,0,4,0,0,0,3,0,1,0,0,1,1,0,0,1,0,2,0,6,0,0,8,2005.0,149154.0
69,nm0000255,1,0,0,0,1,0,0,3,0,5,0,0,0,2,0,0,1,0,0,1,3,0,0,5,2014.0,323834.0
70,nm0000257,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1986.0,4328.0
71,nm0000264,0,0,0,0,0,13,1,2,0,21,0,0,0,0,1,0,3,10,0,0,5,0,0,22,1998.0,45499.0
72,nm0000265,1,0,0,1,1,17,1,7,0,25,1,1,2,1,1,4,7,5,2,0,7,0,2,30,1983.0,19623.0
73,nm0000269,2,0,0,6,3,2,0,0,0,11,2,0,2,3,0,0,1,2,0,1,2,0,0,12,1994.0,55977.0
74,nm0000272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009.0,188.0
75,nm0000273,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1971.0,3732.0
76,nm0000274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2006.0,6510.0
77,nm0000275,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002.0,1249.0
78,nm0000277,2,0,0,1,7,2,2,0,0,11,0,0,3,3,1,2,0,4,0,0,1,0,1,12,1986.0,38137.0
79,nm0000285,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2003.0,6527.0
80,nm0000316,0,0,0,2,0,11,2,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,11,1980.0,83051.0
81,nm0000318,3,0,2,8,2,9,1,3,0,9,6,14,0,1,4,0,1,2,2,0,2,0,0,20,2003.0,296746.0
82,nm0000320,0,0,0,0,0,6,0,1,0,10,0,3,0,0,0,0,0,2,0,0,0,0,0,11,1967.0,22934.0
83,nm0000332,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2015.0,10753.0
84,nm0000338,0,0,0,0,1,5,2,8,0,19,2,5,2,1,2,1,4,7,0,0,4,0,0,22,1984.0,251292.0
85,nm0000339,3,0,0,0,1,3,0,2,0,15,0,3,2,3,13,0,3,0,2,0,4,0,0,20,1965.0,8261.0
86,nm0000341,2,0,0,2,0,0,0,3,0,5,0,0,0,0,0,0,2,1,4,0,5,0,1,6,1980.0,21792.0
87,nm0000343,3,0,0,0,1,1,0,4,0,15,0,0,0,0,10,0,7,2,9,1,8,0,0,20,1994.0,83777.0
88,nm0000345,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2006.0,6336.0
89,nm0000352,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2019.0,9844.0
90,nm0000361,3,0,0,3,0,6,0,15,0,16,0,1,1,2,6,1,12,2,2,0,17,0,0,24,1986.0,120523.0
91,nm0000362,0,0,0,0,1,5,0,3,0,3,1,1,0,1,0,0,0,1,1,0,2,0,0,6,1995.0,69534.0
92,nm0000365,0,0,0,0,1,5,0,0,0,6,1,0,0,1,0,0,0,2,1,0,0,0,0,7,2014.0,9251.0
93,nm0000367,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,3,1999.0,286.0
94,nm0000369,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2002.0,5945.0
95,nm0000380,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2000.0,9324.0
96,nm0000382,0,0,0,0,1,1,0,3,0,12,0,0,1,1,0,0,5,0,0,0,7,0,0,12,2004.0,23127.0
97,nm0000386,13,0,0,8,0,0,0,1,0,6,0,1,2,4,0,0,0,0,9,0,6,0,0,15,2006.0,211585.0
98,nm0000387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1988.0,6283.0
99,nm0000389,2,0,0,1,1,2,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2002.0,23245.0
100,nm0000391,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018.0,6043.0
101,nm0000399,2,0,0,1,2,0,0,5,0,10,0,1,0,1,1,0,5,1,1,0,7,0,0,12,2006.0,787236.0
102,nm0000406,0,0,0,2,0,1,0,1,0,5,0,0,1,2,0,0,0,1,0,0,0,0,5,7,1962.0,20240.0
103,nm0000408,3,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0,0,3,1999.0,76916.0
104,nm0000410,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2003.0,6525.0
105,nm0000412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2005.0,10020.0
106,nm0000416,1,0,0,8,0,11,0,0,0,6,1,9,0,0,1,0,2,0,5,0,4,0,0,13,1995.0,184589.0
107,nm0000419,0,0,0,1,0,19,0,7,12,38,0,2,4,1,1,2,2,7,2,0,1,0,0,45,1980.0,9026.0
108,nm0000420,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016.0,1738.0
109,nm0000425,0,0,0,0,3,7,0,2,0,11,0,0,0,4,0,0,1,2,0,0,0,0,0,12,1997.0,9331.0
110,nm0000431,4,0,0,1,3,1,0,4,0,11,0,1,0,0,1,3,2,5,0,1,6,0,0,12,1995.0,79832.0
111,nm0000436,0,0,0,1,1,2,0,3,0,9,0,0,0,0,0,1,2,2,0,2,5,0,0,10,1999.0,128306.0
112,nm0000437,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017.0,4896.0
113,nm0000438,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2004.0,48102.0
114,nm0000450,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2010.0,8933.0
115,nm0000454,3,0,0,1,0,2,0,3,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,7,1983.0,26398.0
116,nm0000455,0,0,0,0,0,8,0,0,0,5,2,1,0,0,0,0,0,4,1,0,0,0,0,8,1987.0,175533.0
117,nm0000464,0,0,0,1,0,11,0,4,2,12,0,3,0,0,1,3,2,3,0,0,1,0,1,15,2000.0,61316.0
118,nm0000466,2,0,0,2,0,5,0,2,0,3,1,2,1,0,1,0,1,2,4,0,0,0,0,8,2004.0,174696.0
119,nm0000473,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995.0,3302.0
120,nm0000474,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2016.0,13972.0
121,nm0000484,4,0,0,2,0,16,0,7,0,0,0,1,0,1,5,1,0,1,3,0,3,0,1,17,1987.0,75613.0
122,nm0000485,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1960.0,3992.0
123,nm0000487,3,0,0,3,1,1,0,0,0,7,0,1,2,0,0,1,0,3,2,1,1,0,1,9,2006.0,194643.0
124,nm0000490,2,0,0,2,2,10,2,6,1,21,0,0,2,2,0,4,3,4,0,1,3,0,0,23,2001.0,66155.0
125,nm0000491,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020.0,2941.0
126,nm0000492,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2001.0,8849.0
127,nm0000493,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1971.0,1685.0
128,nm0000500,1,0,3,2,1,14,0,5,0,16,0,1,1,1,0,1,0,4,2,1,2,0,0,22,2006.0,108194.0
129,nm0000513,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017.0,1784.0
130,nm0000517,1,0,0,0,2,0,0,1,1,10,0,2,2,3,0,1,0,7,0,0,0,0,0,10,2004.0,74873.0
131,nm0000518,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2002.0,6980.0
132,nm0000519,2,0,0,0,0,2,0,5,0,9,0,0,0,0,0,0,4,1,0,1,5,0,0,9,1997.0,21270.0
133,nm0000520,7,0,0,1,4,0,0,7,0,10,0,1,2,3,2,0,1,1,0,1,6,0,0,12,2000.0,200326.0
134,nm0000521,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002.0,214.0
135,nm0000524,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2007.0,7539.0
136,nm0000540,3,0,0,0,0,6,0,2,0,4,0,0,0,0,1,1,1,0,0,0,4,0,0,10,1970.0,5034.0
137,nm0000552,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1989.0,25724.0
138,nm0000559,1,0,0,2,0,3,0,1,0,2,1,0,0,0,0,0,0,1,2,0,1,0,0,5,1988.0,48927.0
139,nm0000568,1,0,1,3,0,9,1,2,1,4,3,2,0,0,2,0,1,3,1,0,1,0,0,13,1996.0,66495.0
140,nm0000570,1,0,0,0,3,3,1,4,0,13,1,1,2,2,1,5,3,3,0,0,2,0,0,14,1988.0,51109.0
141,nm0000576,1,0,0,2,1,0,0,2,0,6,0,0,0,0,0,0,1,0,0,0,3,0,0,6,2005.0,130172.0
142,nm0000578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1986.0,17281.0
143,nm0000581,0,0,0,0,1,3,0,2,0,1,0,0,0,1,0,0,2,1,0,0,1,0,1,4,1968.0,24643.0
144,nm0000583,7,0,0,5,0,1,0,4,0,11,1,1,2,2,0,0,2,1,2,0,6,0,0,12,1994.0,155641.0
145,nm0000586,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2008.0,2447.0
146,nm0000591,1,0,0,1,1,6,0,5,0,18,1,0,2,2,5,1,7,2,0,0,12,0,0,22,1991.0,113793.0
147,nm0000594,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013.0,2080.0
148,nm0000600,6,0,0,5,0,3,0,2,0,4,1,8,0,0,6,0,1,2,4,1,4,0,1,15,1999.0,284728.0
149,nm0000601,0,0,0,1,0,10,0,3,0,4,0,3,0,0,0,0,0,4,1,1,0,0,0,10,1994.0,140586.0
150,nm0000602,1,0,0,2,1,1,0,2,0,9,1,2,0,3,0,0,2,1,0,1,1,0,1,9,1998.0,48180.0
151,nm0000608,3,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1980.0,4778.0
152,nm0000614,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2006.0,14955.0
153,nm0000619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1999.0,11542.0
154,nm0000626,0,0,0,3,0,2,0,0,0,10,1,1,0,2,0,0,1,3,1,1,1,0,1,10,1992.0,10552.0
155,nm0000630,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005.0,60568.0
156,nm0000631,14,0,0,13,4,2,0,9,0,25,0,1,5,7,2,0,2,3,5,0,11,0,0,29,2003.0,326929.0
157,nm0000632,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2024.0,34072.0
158,nm0000635,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1990.0,5649.0
159,nm0000638,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1989.0,65742.0
160,nm0000640,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990.0,6361.0
161,nm0000641,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1990.0,25189.0
162,nm0000647,2,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,4,1983.0,2318.0
163,nm0000659,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,3,1990.0,20355.0
164,nm0000662,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,5349.0
165,nm0000671,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1998.0,58608.0
166,nm0000682,4,0,0,3,1,0,0,2,0,5,0,0,0,1,1,0,1,1,4,0,5,0,0,9,1998.0,173226.0
167,nm0000691,0,0,0,0,0,10,1,5,0,2,1,1,0,0,0,0,0,2,0,0,2,0,0,10,1988.0,22928.0
168,nm0000694,1,0,0,1,2,0,0,2,8,21,0,2,1,1,0,4,3,4,1,1,5,0,1,29,1996.0,17485.0
169,nm0000697,0,0,0,1,0,9,0,2,0,3,0,0,0,1,0,0,2,7,0,0,0,0,0,10,1969.0,33039.0
170,nm0000698,0,0,0,0,0,5,0,1,0,2,0,0,0,0,1,2,2,2,0,0,0,0,0,5,1980.0,7379.0
171,nm0000705,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021.0,16562.0
172,nm0000709,3,0,5,12,2,15,0,2,0,10,4,6,1,0,3,1,2,5,4,0,4,0,0,22,2001.0,354436.0
173,nm0000713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1980.0,2965.0
174,nm0000720,2,0,0,0,0,8,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,8,1989.0,79570.0
175,nm0000727,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1987.0,5961.0
176,nm0000729,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2014.0,20280.0
177,nm0000736,4,0,0,6,0,6,0,5,0,17,0,0,2,1,2,0,2,1,0,1,5,0,4,19,1970.0,13931.0
178,nm0000739,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2020.0,3218.0
179,nm0000740,2,0,0,3,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,3,1961.0,4303.0
180,nm0000743,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1984.0,133.0
181,nm0000750,3,0,0,1,1,2,0,3,0,6,0,0,0,1,0,0,3,4,1,0,4,0,0,7,1998.0,54528.0
182,nm0000755,0,0,0,0,0,2,0,1,0,5,0,1,0,0,0,1,0,0,1,1,0,0,0,5,1975.0,10123.0
183,nm0000759,0,0,0,0,0,3,0,2,0,9,0,0,0,1,0,0,1,3,0,0,0,0,0,9,2007.0,236664.0
184,nm0000766,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2001.0,4538.0
185,nm0000767,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,94.0
186,nm0000770,1,0,0,0,1,1,0,1,0,6,1,0,0,2,0,0,0,2,0,3,1,0,0,6,1995.0,22794.0
187,nm0000774,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,8,0,0,2,0,0,11,1974.0,21323.0
188,nm0000776,2,0,0,2,4,2,0,6,1,13,1,1,1,3,0,2,6,2,0,1,11,0,0,20,1994.0,36506.0
189,nm0000777,0,0,0,0,0,6,0,1,0,6,0,0,0,0,0,0,2,4,2,0,1,0,0,8,2002.0,22710.0
190,nm0000778,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1994.0,28581.0
191,nm0000780,0,0,0,0,0,7,0,2,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,9,2004.0,6849.0
192,nm0000782,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2006.0,3891.0
193,nm0000783,0,0,0,0,0,0,0,5,0,2,0,0,0,0,15,0,11,0,0,0,13,0,0,15,1987.0,24098.0
194,nm0000786,4,0,0,1,0,2,0,4,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1984.0,28720.0
195,nm0000788,0,0,0,0,1,1,1,0,0,7,1,0,1,2,0,1,0,6,0,0,1,0,0,7,1992.0,15322.0
196,nm0000791,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1968.0,2511.0
197,nm0000797,1,0,0,0,1,5,0,1,0,8,0,0,1,0,0,1,0,3,0,0,1,0,0,8,1976.0,29833.0
198,nm0000801,0,0,0,0,0,4,0,1,1,19,1,0,0,1,0,3,2,6,0,0,4,0,0,20,2003.0,11104.0
199,nm0000806,1,0,0,0,2,1,0,2,0,7,0,0,0,2,0,0,1,2,0,0,2,0,0,7,2003.0,15679.0
200,nm0000808,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1996.0,7320.0
201,nm0000809,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2016.0,1877.0
202,nm0000812,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2005.0,26615.0
203,nm0000814,4,0,0,2,1,4,0,2,0,12,3,0,0,0,0,1,1,4,0,4,2,0,0,14,1984.0,93765.0
204,nm0000816,1,0,0,0,0,1,0,3,0,7,0,0,1,1,0,0,2,1,0,0,3,0,0,7,2001.0,44529.0
205,nm0000824,9,0,0,2,0,7,0,8,0,8,1,1,0,0,1,1,0,4,2,2,6,0,0,16,1987.0,33946.0
206,nm0000829,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,3,1999.0,88511.0
207,nm0000835,1,0,7,3,0,3,0,1,0,4,0,3,0,1,0,1,0,0,2,0,0,0,0,7,1977.0,13319.0
208,nm0000837,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1998.0,6786.0
209,nm0000843,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1980.0,2459.0
