,nconst
98194,nm0000606
98201,nm0933940
98202,nm0680983
98203,nm0644897
98204,nm1230874
98207,nm1208167
98208,nm0299811
98209,nm0133899
98210,nm0221745
98217,nm0320209
98218,nm1716885
98219,nm1716704
98220,nm1714766
98227,nm1307515
98228,nm0785517
98229,nm0000880
98230,nm1342513
98237,nm0501256
98238,nm0933727
98239,nm0000366
98240,nm0042104
98247,nm0641168
98248,nm0026879
98249,nm0206257
98250,nm0582939
98257,nm0283945
98258,nm0000686
98259,nm0520064
98260,nm0702572
98267,nm0005132
98268,nm0180411
98269,nm0001691
98270,nm0118983
98277,nm0000438
98278,nm1208167
98279,nm0328828
98280,nm0722661
98287,nm0696059
98288,nm0696059
98289,nm0172557
98290,nm0172557
98301,nm1935952
98302,nm0900915
98303,nm1050554
98304,nm0270541
98311,nm0005433
98312,nm0176981
98313,nm1009277
98314,nm0004873
98321,nm0136797
98322,nm0004266
98323,nm0000273
98324,nm0425005
98331,nm0670408
98332,nm0296545
98333,nm0293509
98334,nm0631490
98341,nm0000702
98342,nm0749263
98343,nm0006610
98344,nm0005457
98351,nm1519666
98352,nm0836432
98353,nm0001057
98354,nm0746896
98361,nm0001326
98362,nm0001426
98363,nm0000151
98364,nm0005154
98371,nm0000300
98372,nm0001845
98373,nm0000546
98374,nm0182839
98381,nm0000285
98382,nm1223023
98383,nm0005251
98384,nm0005251
98393,nm0000362
98394,nm0000870
98395,nm0515296
98396,nm0000117
98403,nm0670408
98404,nm0628601
98405,nm0000279
98406,nm0602836
98413,nm0001518
98414,nm0000542
98415,nm0829576
98416,nm0179173
98423,nm1126340
98424,nm1185734
98425,nm0475752
98426,nm0837420
98433,nm1227864
98434,nm2273079
98435,nm0510872
98436,nm2899928
98443,nm0709493
98444,nm1728833
98445,nm0594631
98446,nm0304080
98453,nm0712550
98454,nm0020739
98455,nm0001267
98456,nm0295103
98463,nm0421799
98464,nm1443396
98465,nm0374901
98466,nm0309404
98473,nm0386472
98474,nm0005493
98475,nm0947338
98476,nm0000246
98483,nm0383603
98484,nm0005392
98485,nm0001667
98486,nm0005024
98493,nm0293509
98494,nm0828961
98495,nm0542118
98496,nm1692900
98503,nm0136797
98504,nm0748620
98505,nm1210895
98506,nm0302108
98513,nm0000190
98514,nm0000572
98515,nm0000870
98516,nm0103537
98523,nm0000243
98524,nm0001845
98525,nm0253708
98526,nm1676649
98534,nm0000237
98535,nm0001451
98536,nm2284889
98537,nm0000201
98544,nm0000173
98545,nm0185819
98546,nm0000562
98547,nm2044796
98554,nm0662981
98555,nm0763022
98556,nm0862755
98557,nm0662960
98564,nm0330687
98565,nm0001099
98566,nm0328828
98567,nm0279545
98574,nm1093951
98575,nm0000671
98576,nm3747611
98577,nm0000610
98584,nm0635330
98585,nm0632385
98586,nm0273464
98587,nm0248371
98592,nm0001173
98593,nm1080974
98594,nm0004742
98595,nm0526406
98602,nm0000141
98603,nm0000194
98604,nm0001082
98605,nm0350454
98612,nm0004778
98613,nm0000255
98614,nm0000178
98615,nm0001364
98622,nm0000437
98623,nm0189144
98624,nm0001199
98625,nm0385644
98632,nm0714147
98633,nm0809135
98634,nm1738176
98635,nm1767401
98642,nm0577841
98643,nm0116254
98644,nm0786904
98645,nm1526293
98652,nm0001212
98653,nm0000213
98654,nm0000274
98655,nm0123092
98662,nm0274598
98663,nm0000401
98664,nm1216647
98665,nm0388578
98672,nm0001264
98673,nm0000285
98674,nm1192254
98675,nm0622553
98682,nm0845915
98683,nm1084794
98684,nm7695078
98685,nm0851427
98692,nm0000151
98693,nm0000151
98694,nm0001960
98695,nm0075650
98707,nm0512071
98708,nm0222922
98709,nm0023832
98710,nm0320762
98717,nm0432601
98718,nm1162030
98719,nm0656759
98720,nm1348400
98727,nm0732222
98728,nm0671844
98729,nm0201669
98730,nm0529591
98737,nm0000852
98738,nm0092961
98739,nm0118625
98740,nm0170837
98747,nm0001518
98748,nm0004879
98749,nm0126284
98750,nm0001025
98757,nm0000553
98758,nm0177896
98759,nm1663205
98760,nm0004754
98767,nm0000661
98768,nm0000651
98769,nm1248393
98770,nm1248393
98778,nm0316079
98779,nm0000115
98780,nm0000210
98781,nm0000658
98788,nm0731075
98789,nm1685658
98790,nm0668139
98791,nm1416330
98798,nm0650024
98799,nm0125540
98800,nm0125540
98801,nm0872910
98810,nm0001953
98811,nm1214637
98812,nm0004376
98813,nm0311476
98820,nm0000242
98821,nm0879085
98822,nm0071275
98823,nm1330560
98830,nm0000322
98831,nm0895759
98832,nm0002100
98833,nm0133899
98840,nm1265067
98841,nm0117146
98842,nm0015382
98843,nm0589077
98850,nm0268199
98851,nm0004937
98852,nm0000084
98853,nm0365140
98860,nm1520988
98861,nm1520988
98862,nm0331577
98863,nm0633604
98871,nm0001631
98872,nm0000209
98873,nm0030153
98874,nm0194572
98881,nm1335291
98882,nm0000313
98883,nm0501837
98884,nm1840748
98891,nm1093951
98892,nm1759027
98893,nm0101724
98894,nm0329586
98901,nm0000212
98902,nm0578949
98903,nm0000906
98904,nm0005226
98911,nm1754087
98912,nm0692944
98913,nm0099886
98914,nm0415191
98921,nm0870204
98922,nm2303057
98923,nm1775528
98924,nm1721326
98931,nm0748620
98932,nm0005405
98933,nm0006969
98934,nm2395586
98941,nm2828435
98942,nm0604742
98943,nm0001718
98944,nm1956478
98951,nm0004937
98952,nm0177933
98953,nm0004950
98954,nm0000867
98961,nm0001487
98962,nm0608090
98963,nm0000564
98964,nm0227759
98971,nm0005476
98972,nm0124930
98973,nm0001065
98974,nm0001435
98981,nm1475754
98982,nm0410951
98983,nm0475752
98984,nm1040419
98992,nm0044535
98993,nm0000809
98994,nm0142972
98995,nm0530365
99002,nm0000882
99003,nm0504267
99004,nm0954704
99005,nm0152647
99012,nm0000170
99013,nm0005123
99014,nm0004912
99015,nm0322513
99022,nm0000123
99023,nm0000658
99024,nm0000195
99025,nm0005403
99032,nm0001602
99033,nm0005305
99034,nm0001209
99035,nm2366374
99042,nm0000227
99043,nm0000090
99044,nm0840430
99045,nm0000321
99052,nm0005531
99053,nm0005238
99054,nm1065281
99055,nm0891275
99063,nm1092227
99064,nm0001602
99065,nm0159789
99066,nm0266422
99073,nm0413168
99074,nm1431940
99075,nm2023672
99076,nm1107001
99083,nm0000160
99084,nm0000353
99085,nm0000554
99086,nm3735190
99093,nm0000657
99094,nm0000123
99095,nm0165101
99096,nm0001099
99103,nm0848554
99104,nm0155211
99105,nm0444223
99106,nm0001264
99113,nm0000288
99114,nm0135585
99115,nm0519456
99116,nm0286331
99123,nm0005351
99124,nm0005442
99125,nm0267506
99126,nm0005098
99133,nm0000146
99134,nm0000661
99135,nm0390903
99136,nm0001223
99143,nm0671980
99144,nm0451234
99145,nm0007102
99146,nm0057150
99153,nm0252230
99154,nm0249291
99155,nm0005322
99156,nm0740383
99163,nm0103785
99164,nm0057150
99165,nm1377375
99166,nm0000729
99173,nm0875354
99174,nm1773398
99175,nm1269611
99176,nm1772845
99183,nm0517844
99184,nm0005210
99185,nm0004742
99186,nm0477127
99193,nm0679150
99194,nm1773413
99195,nm0179534
99196,nm1414974
99203,nm0004650
99204,nm0560962
99205,nm0286579
99206,nm0760093
99213,nm0915989
99214,nm0915989
99215,nm0000204
99216,nm0001291
99224,nm0853301
99225,nm0853301
99226,nm0853301
99227,nm0853301
99250,nm1392075
99251,nm1778466
99252,nm1232925
99253,nm1779520
99260,nm0001376
99261,nm0339621
99262,nm0993495
99263,nm0359331
99270,nm1817817
99271,nm1352881
99272,nm0740264
99273,nm0391326
99280,nm0000307
99281,nm0001173
99282,nm1541751
99283,nm1310016
99290,nm0531933
99291,nm0413238
99292,nm0717157
99293,nm0611731
99300,nm4154798
99301,nm0000313
99302,nm0000658
99303,nm2357847
99310,nm0700712
99311,nm0004456
99312,nm1036691
99313,nm0859197
99320,nm0154226
99321,nm1760272
99322,nm0001315
99323,nm0549815
99330,nm0363699
99331,nm0565366
99332,nm0366106
99333,nm1579445
99340,nm1543989
99341,nm1836882
99342,nm0164929
99343,nm0212563
99350,nm0309693
99351,nm0309693
99352,nm0309693
99353,nm0671487
99366,nm0000185
99367,nm0002027
99368,nm0678419
99369,nm1483637
99376,nm0000115
99377,nm0000194
99378,nm0004754
99379,nm0470981
99386,nm0292182
99387,nm0174909
99388,nm0539562
99389,nm0422588
99396,nm0000158
99397,nm0000741
99398,nm0000349
99399,nm0000885
99407,nm0000098
99408,nm0000531
99409,nm0001416
99410,nm0000349
99417,nm0004715
99418,nm0004851
99419,nm0302108
99420,nm0631490
99427,nm0001557
99428,nm0005042
99429,nm2092886
99430,nm0533599
99437,nm0156228
99438,nm0175931
99439,nm0933447
99440,nm0008506
99447,nm0252979
99448,nm0182839
99449,nm0500976
99450,nm0452831
99458,nm0000545
99459,nm0790688
99460,nm0000342
99461,nm0421105
99468,nm8234332
99473,nm4023073
99474,nm0910607
99475,nm0000124
99476,nm0991810
99483,nm0414417
99484,nm0896292
99485,nm0656003
99486,nm1635134
99493,nm1035682
99494,nm0000209
99495,nm1973790
99496,nm1001882
99503,nm0000782
99504,nm2227118
99505,nm0581953
99506,nm1167450
99513,nm0005125
99514,nm0048932
99515,nm0112001
99522,nm0000291
99523,nm0000401
99524,nm1551130
99525,nm0035664
99532,nm1519453
99533,nm0324462
99534,nm0748289
99535,nm0000387
99542,nm0005450
99543,nm1417647
99544,nm0001705
99545,nm0001484
99553,nm0005380
99554,nm0000491
99555,nm0001459
99556,nm0005405
99564,nm1310709
99565,nm0000560
99566,nm0005442
99567,nm0215229
99574,nm0293285
99575,nm1484330
99576,nm1312399
99577,nm0487005
99584,nm0000288
99585,nm0941777
99586,nm0947338
99587,nm1291227
99594,nm0001212
99595,nm0371660
99596,nm1208167
99597,nm0529300
99604,nm0969770
99605,nm1947858
99606,nm0007814
99607,nm0863816
99614,nm0189200
99615,nm0000906
99616,nm0004051
99617,nm0000569
99624,nm1123694
99625,nm0004286
99626,nm0199590
99627,nm0202966
99634,nm3009232
99635,nm3009232
99636,nm0000474
99637,nm0000474
99647,nm0795517
99648,nm1045934
99649,nm1862701
99650,nm0644885
99659,nm0277213
99660,nm0006969
99661,nm0740264
99662,nm0860065
99669,nm0182666
99670,nm0567945
99671,nm1473013
99672,nm0000925
99679,nm0000354
99680,nm1183149
99681,nm0000260
99682,nm0005466
99689,nm0000204
99690,nm0489713
99691,nm0007814
99692,nm0560962
99699,nm0117709
99700,nm0900915
99701,nm0863787
99702,nm0475982
99709,nm0085312
99710,nm0574534
99711,nm0001401
99712,nm0000163
99719,nm0000237
99720,nm0000161
99721,nm0001467
99722,nm0001254
99729,nm1379938
99730,nm1954240
99731,nm0610459
99732,nm0390324
99739,nm0287898
99740,nm1027847
99741,nm0005260
99742,nm0801051
99749,nm1379938
99750,nm9826817
99751,nm1542397
99752,nm2527406
99759,nm0004851
99760,nm0560962
99761,nm0240318
99762,nm0692391
99769,nm0243355
99770,nm0674816
99771,nm0548169
99772,nm0898653
99779,nm0847624
99780,nm1217394
99781,nm1833521
99782,nm1540426
99789,nm0619185
99790,nm0559381
99791,nm0949069
99792,nm0654733
99799,nm0935653
99800,nm0935653
99801,nm0935653
99802,nm0000417
99811,nm0688143
99812,nm0141140
99813,nm0951520
99814,nm0233123
99821,nm0620397
99822,nm0870317
99823,nm0632689
99824,nm0010402
99829,nm0000358
99830,nm0000398
99831,nm0000657
99832,nm0330687
99839,nm0000598
99840,nm0001845
99841,nm0289142
99842,nm0569226
99849,nm0000598
99850,nm0000623
99851,nm0005278
99852,nm0267511
99859,nm1298546
99860,nm1170394
99861,nm0088098
99862,nm1632070
99869,nm2057726
99870,nm1935796
99871,nm0564680
99872,nm2126354
99879,nm0583856
99880,nm0516222
99881,nm0094526
99882,nm0733625
99889,nm0270625
99890,nm0846548
99891,nm1086272
99892,nm0115730
99899,nm0056187
99900,nm0205772
99901,nm0132685
99902,nm3929074
99904,nm0471137
99905,nm1828901
99906,nm1828901
99907,nm1851893
99919,nm0000179
99920,nm0000705
99921,nm0267812
99922,nm0293509
99929,nm0262635
99930,nm1404408
99931,nm3500747
99932,nm0191633
99939,nm0042524
99940,nm0005068
99941,nm0428923
99942,nm0541120
99949,nm0461498
99950,nm0004937
99951,nm0000552
99952,nm0000418
99959,nm0000513
99960,nm0005466
99961,nm0001505
99962,nm0062844
99969,nm1816540
99970,nm1409196
99971,nm1559624
99972,nm0278673
99979,nm2605345
99980,nm0001394
99981,nm0001285
99982,nm4563869
99989,nm0004266
99990,nm0000335
99991,nm0911320
99992,nm0000902
99999,nm0001570
100000,nm0004754
100001,nm0316079
100002,nm0001722
100010,nm0005048
100011,nm0000178
100012,nm0000620
100013,nm1682412
100021,nm0000140
100022,nm0000662
100023,nm0000107
100024,nm0519456
100031,nm0004741
100032,nm1711829
100033,nm0434879
100034,nm0193295
100041,nm0000093
100042,nm0000729
100043,nm0001731
100044,nm0000571
100051,nm0000141
100052,nm0000096
100053,nm0175262
100054,nm0001605
100061,nm0350453
100062,nm0000375
100063,nm0749263
100064,nm0000381
100072,nm1056120
100073,nm1655379
100074,nm0780443
100075,nm1994717
100082,nm0308039
100083,nm1202905
100084,nm1438584
100085,nm1617181
100092,nm0208426
100093,nm0501256
100094,nm0243355
100095,nm0105475
100102,nm0618651
100103,nm0954704
100104,nm0098793
100105,nm0213354
100112,nm0782213
100113,nm1239566
100114,nm0349522
100115,nm1265207
100123,nm0580101
100124,nm0057842
100125,nm0283997
100126,nm0133899
100134,nm0000100
100135,nm0000218
100136,nm0001749
100137,nm0000664
100144,nm0005476
100145,nm0607375
100146,nm1455681
100147,nm0252961
100154,nm0499218
100155,nm0320721
100156,nm0239575
100157,nm0539981
100164,nm0359197
100165,nm1328575
100166,nm1138201
100167,nm1255246
100174,nm0296594
100175,nm0244707
100176,nm0000991
100177,nm0856187
100185,nm1845700
100186,nm1846124
100187,nm0044073
100188,nm2351360
100195,nm0939697
100196,nm0836343
100197,nm1725848
100198,nm2085629
100205,nm0002071
100206,nm1417647
100207,nm0688132
100208,nm0004715
100215,nm0000182
100216,nm0000104
100217,nm0953197
100218,nm1766846
100225,nm0000317
100226,nm2720792
100227,nm3467997
100228,nm2439994
100235,nm0000131
100236,nm0000151
100237,nm2196500
100238,nm0000481
100245,nm0000518
100246,nm1799082
100247,nm2593500
100248,nm0248254
100255,nm0000242
100256,nm0001427
100257,nm0006969
100258,nm0176723
100265,nm0881631
100266,nm0000317
100267,nm1291227
100268,nm0575184
100275,nm0148418
100276,nm0935541
100277,nm0001085
100278,nm0447695
100285,nm0000104
100286,nm0114532
100287,nm1861624
100288,nm0005569
100295,nm0470244
100296,nm1178100
100297,nm0771493
100298,nm0558182
100305,nm0022764
100306,nm0865950
100307,nm0760664
100308,nm0261695
100315,nm0000300
100316,nm0001806
100317,nm1271759
100318,nm2068559
100325,nm0000141
100326,nm0000666
100327,nm1880888
100328,nm0786639
100335,nm0000608
100336,nm0365501
100337,nm0556835
100338,nm0002436
100345,nm0342488
100346,nm0001473
100347,nm0910278
100348,nm2474419
100355,nm0305296
100356,nm0069711
100357,nm0002100
100358,nm0332709
100367,nm0001487
100368,nm0204583
100369,nm0365317
100370,nm0411903
100374,nm0293509
100375,nm0391820
100376,nm0083795
100377,nm0562003
100384,nm0915208
100385,nm0001570
100386,nm0000630
100387,nm2474010
100394,nm0000115
100395,nm2425105
100396,nm0126284
100397,nm3041648
100405,nm0000245
100406,nm0001057
100407,nm0191412
100408,nm0608012
100415,nm1157048
100416,nm0835016
100417,nm4755508
100418,nm6244013
100425,nm0000614
100426,nm0000244
100427,nm0005251
100428,nm0358922
100435,nm0614165
100436,nm0126284
100437,nm0262635
100438,nm0193295
100445,nm0000226
100446,nm0000234
100447,nm0000867
100448,nm2052567
100455,nm0305296
100456,nm0494161
100457,nm0141140
100458,nm0317858
100465,nm0470981
100466,nm0005392
100467,nm0399411
100468,nm2167467
100475,nm0000215
100476,nm0000554
100477,nm1289434
100478,nm0863968
100485,nm0158648
100486,nm1149444
100487,nm1037141
100488,nm1215809
100495,nm1422362
100496,nm1162030
100497,nm2015780
100502,nm0000104
100503,nm0000161
100504,nm0302108
100505,nm0000671
100513,nm1968873
100514,nm0347149
100515,nm0000460
100516,nm0000518
100523,nm0136797
100524,nm0001057
100525,nm0001427
100526,nm1113550
100533,nm0004754
100534,nm0262635
100535,nm0005458
100536,nm0117146
100543,nm0001745
100544,nm0542759
100545,nm0068755
100546,nm1116863
100553,nm0000136
100554,nm0089217
100555,nm0461136
100556,nm0001691
100563,nm0000245
100564,nm0385644
100565,nm0155693
100566,nm1685658
100573,nm0000093
100574,nm0000949
100575,nm0305558
100576,nm2415554
100583,nm0004266
100584,nm0933940
100585,nm0001556
100586,nm0105672
100593,nm0255362
100594,nm0998117
100595,nm0000809
100596,nm0000218
100603,nm15471292
100604,nm2018079
100605,nm15471273
100606,nm15471276
100613,nm0182839
100614,nm0856500
100615,nm0339621
100616,nm0782561
100623,nm0000246
100624,nm0080049
100625,nm0001556
100626,nm0827735
100633,nm0000138
100634,nm0005023
100635,nm0000124
100636,nm2218894
100643,nm0379596
100644,nm1277177
100645,nm1898448
100646,nm1319676
100653,nm0829032
100654,nm0922035
100655,nm0922035
100656,nm0004748
100664,nm0147147
100665,nm0700712
100666,nm1134439
100667,nm1055413
100674,nm0001029
100675,nm0001427
100676,nm0005256
100677,nm0001592
100684,nm0000131
100685,nm0000168
100686,nm0005203
100687,nm0001724
100694,nm1491631
100695,nm0000604
100696,nm0000161
100697,nm1242688
100706,nm1120593
100707,nm0060561
100708,nm0108068
100709,nm1168915
100716,nm0003508
100717,nm0547614
100718,nm0948636
100719,nm2115403
100726,nm2281004
100727,nm0092229
100728,nm2286403
100729,nm13402086
100735,nm0001993
100736,nm1625249
100737,nm0581953
100738,nm1867704
100745,nm2542493
100746,nm0000306
100747,nm0000306
100748,nm0166678
100756,nm1800742
100757,nm0949112
100758,nm2118328
100759,nm0786059
100766,nm0085214
100767,nm1852675
100768,nm0105264
100769,nm0167408
100776,nm0000120
100777,nm0136797
100778,nm0000993
100779,nm0004715
100787,nm12236841
100788,nm3093662
100789,nm12236842
100790,nm12236843
100797,nm1020345
100798,nm0039958
100799,nm1372713
100800,nm1172273
100807,nm1986960
100808,nm1883803
100809,nm0328098
100810,nm0143636
100817,nm2933757
100818,nm1517976
100819,nm0000705
100820,nm0205063
100827,nm2274768
100828,nm0850162
100829,nm0303607
100830,nm2073502
100837,nm1105416
100838,nm1856217
100839,nm1029524
100840,nm1855460
100846,nm0378932
100847,nm0081547
100848,nm0362896
100849,nm0957193
100856,nm0696169
100857,nm1272606
100858,nm0835045
100859,nm1795071
100866,nm0000098
100867,nm0000681
100868,nm0269463
100869,nm0000725
100876,nm0000188
100877,nm0001372
100878,nm0240381
100879,nm0506405
100886,nm0005458
100887,nm0000260
100888,nm0879085
100889,nm0574534
100896,nm0000151
100897,nm0000438
100898,nm0000729
100899,nm1157358
100906,nm0000123
100907,nm0000949
100908,nm0001497
100909,nm0000977
100916,nm0176981
100917,nm0004695
100918,nm0283945
100919,nm1161069
100926,nm0316079
100927,nm0397171
100928,nm0942482
100929,nm0000837
100936,nm0005261
100937,nm0722629
100938,nm0851113
100939,nm1085051
100946,nm0051509
100947,nm1046097
100948,nm0515296
100949,nm0634409
100956,nm0000295
100957,nm0005561
100958,nm0001844
100959,nm0256121
100966,nm1273697
100967,nm1666855
100968,nm1011070
100969,nm0209409
100976,nm0018872
100977,nm0957976
100978,nm0692391
100979,nm0251021
100986,nm0000100
100987,nm0000353
100988,nm0671487
100989,nm1372570
100996,nm0000243
100997,nm1745736
100998,nm0001029
100999,nm0000174
101006,nm0503567
101007,nm0005561
101008,nm0488953
101009,nm0625789
101016,nm0257598
101017,nm1404049
101018,nm1130845
101019,nm0662475
101026,nm0000295
101027,nm0005377
101028,nm0029400
101029,nm0036261
101036,nm0001772
101037,nm0538683
101038,nm0262635
101039,nm0001264
101047,nm1569276
101048,nm1165660
101049,nm0000148
101050,nm2718512
101057,nm0881802
101058,nm0078452
101059,nm0136509
101060,nm0275002
101067,nm0344435
101068,nm0001215
101069,nm0002091
101070,nm0304801
101077,nm0290556
101078,nm0000606
101079,nm0213847
101080,nm2281941
101087,nm0505971
101088,nm0000599
101089,nm0126004
101090,nm0211087
101097,nm0000243
101098,nm0654110
101099,nm0000149
101100,nm0001626
101107,nm4139037
101108,nm0451234
101109,nm1300009
101110,nm0007102
101117,nm0000409
101118,nm0080049
101119,nm0001277
101120,nm1503432
101127,nm0000226
101128,nm0628601
101129,nm1535523
101130,nm0397788
101137,nm1197689
101138,nm0458460
101139,nm0463130
101140,nm1298285
101147,nm0004789
101148,nm1377561
101149,nm1475594
101150,nm0005068
101157,nm1775214
101158,nm1508859
101159,nm0005579
101160,nm0424559
101167,nm0241049
101168,nm0313534
101169,nm1312575
101170,nm0004718
101177,nm1688127
101179,nm1009277
101180,nm0004715
101181,nm0564277
101182,nm0462712
101189,nm2082551
101190,nm0765499
101191,nm0509672
101192,nm0628866
101199,nm0200452
101200,nm0000134
101201,nm0000194
101202,nm1880888
101209,nm0735442
101210,nm0005029
101211,nm0543383
101212,nm0515123
101216,nm0593664
101217,nm0648249
101218,nm1263939
101219,nm1725848
101227,nm0005227
101228,nm0001349
101229,nm0175262
101230,nm0000195
101237,nm0670408
101238,nm0000379
101239,nm1083271
101240,nm3003326
101246,nm0000459
101247,nm0422998
101248,nm0446303
101249,nm0533305
101256,nm0564215
101257,nm0001845
101258,nm0000096
101259,nm0913488
101266,nm1347153
101267,nm1347153
101268,nm1347153
101269,nm0005516
101278,nm0477127
101279,nm0005520
101280,nm0005531
101281,nm0265637
101288,nm0000152
101289,nm0005024
101290,nm0251986
101291,nm2765903
101298,nm0000166
101299,nm0000147
101300,nm0000541
101301,nm0000111
101308,nm0000173
101309,nm0413168
101310,nm0011354
101311,nm1812267
101318,nm0004741
101319,nm0281107
101320,nm1556320
101321,nm1935086
101328,nm0000243
101329,nm0190744
101330,nm1631269
101331,nm1092086
101338,nm0000849
101339,nm0000204
101340,nm0000204
101341,nm0001745
101349,nm0122653
101350,nm0000498
101351,nm0005261
101352,nm0122688
101359,nm0000293
101360,nm0124208
101361,nm0461149
101362,nm0568180
101369,nm0582462
101370,nm0038680
101371,nm0444223
101372,nm0124208
101380,nm0879085
101381,nm0328709
101382,nm0005478
101383,nm1882794
101390,nm2291703
101391,nm0744107
101392,nm0090469
101393,nm2293514
101400,nm0351029
101401,nm1890988
101402,nm0119438
101403,nm0608210
101410,nm0182839
101411,nm0684500
101412,nm0183258
101413,nm0753737
101420,nm2168632
101421,nm0001648
101422,nm1311122
101423,nm1002627
101430,nm0753737
101431,nm1918862
101432,nm1924710
101433,nm0740090
101440,nm1560630
101441,nm1917619
101442,nm1926499
101443,nm2501021
101445,nm0184445
101446,nm0004802
101447,nm0429250
101448,nm0200601
101455,nm0950778
101456,nm1686456
101457,nm0793404
101458,nm0837501
101465,nm0496932
101466,nm1086555
101467,nm1116906
101468,nm1058565
101475,nm0158856
101476,nm0753486
101477,nm3744420
101478,nm1366028
101485,nm0442066
101486,nm1317046
101487,nm0377034
101488,nm0931321
101495,nm0002071
101496,nm1104131
101497,nm0295484
101498,nm1672246
101506,nm0000204
101507,nm0000163
101508,nm0000867
101509,nm0525076
101516,nm1419440
101517,nm0317725
101518,nm0530365
101519,nm0893941
101527,nm0000932
101528,nm0000246
101529,nm0000610
101530,nm0692466
101537,nm1641117
101538,nm0000620
101539,nm0645683
101540,nm0092961
101547,nm0085312
101548,nm0307143
101549,nm0422948
101550,nm1377265
101557,nm0424060
101558,nm0413168
101559,nm0242319
101560,nm0061106
101567,nm1579372
101568,nm0175262
101569,nm0005251
101570,nm0443286
101577,nm0000701
101578,nm0000139
101579,nm0000179
101580,nm0085312
101587,nm0262635
101588,nm0262635
101589,nm0915989
101590,nm0915989
101599,nm0004266
101600,nm0000658
101601,nm0004978
101602,nm1289434
101609,nm0103785
101610,nm0001605
101611,nm0001301
101612,nm0000867
101619,nm0005203
101620,nm0168262
101621,nm0673637
101622,nm1891158
101629,nm0000112
101630,nm0001057
101631,nm1782299
101632,nm0666739
101639,nm0937557
101640,nm0920992
101641,nm0000422
101642,nm0322513
101649,nm0000620
101650,nm0004695
101651,nm0000982
101652,nm0330687
101659,nm0413168
101660,nm0413168
101661,nm0000630
101662,nm0005351
101672,nm2759893
101673,nm3672484
101674,nm5486622
101675,nm5486594
101683,nm0359652
101684,nm0183430
101685,nm0320762
101686,nm0018902
101693,nm0289032
101694,nm0289032
101695,nm0171630
101696,nm0617622
101704,nm0081801
101705,nm0288976
101706,nm0752740
101707,nm2931729
101714,nm0005351
101715,nm0607865
101716,nm0870204
101717,nm0149950
101725,nm1195855
101726,nm1195855
101727,nm1942458
101728,nm0905311
101738,nm0001427
101739,nm0000246
101740,nm1503432
101741,nm0005519
101748,nm0004988
101749,nm0000518
101750,nm0000158
101751,nm1289434
101758,nm0344734
101759,nm0538048
101760,nm0951471
101761,nm0000368
101769,nm0200702
101770,nm0488477
101771,nm0699545
101772,nm0815668
101779,nm4360085
101780,nm0000295
101781,nm0000112
101782,nm0633223
101789,nm0614165
101790,nm2073546
101791,nm0192377
101792,nm1695893
101799,nm1929212
101800,nm0431451
101801,nm0420953
101802,nm0532914
101809,nm0381342
101810,nm0088179
101811,nm0323203
101812,nm0685014
101819,nm0010736
101820,nm0000215
101821,nm0005188
101822,nm0001131
101829,nm1235292
101830,nm1392076
101831,nm1305598
101832,nm2349707
101839,nm0050749
101840,nm2236715
101841,nm2654746
101842,nm1941730
101849,nm1938432
101850,nm1938539
101851,nm1936554
101852,nm1711640
101855,nm0000809
101856,nm0314554
101857,nm0000899
101858,nm0408234
101865,nm0051509
101866,nm0004376
101867,nm0190744
101868,nm2240346
101875,nm0000207
101876,nm0000168
101877,nm0005493
101878,nm0580924
101885,nm0000621
101886,nm0000535
101887,nm0000535
101888,nm0001803
101897,nm1089991
101898,nm0000460
101899,nm1092227
101900,nm1812656
101907,nm0000152
101908,nm0000547
101909,nm0048379
101910,nm0141715
101917,nm0972851
101918,nm0004893
101919,nm0382791
101920,nm1659172
101927,nm0000147
101928,nm0001426
101929,nm0001426
101930,nm0706787
101938,nm0001029
101939,nm0617009
101940,nm0000579
101941,nm1658935
101948,nm1966818
101949,nm1985800
101950,nm1968388
101951,nm2066036
101959,nm0000230
101960,nm0004748
101961,nm0550452
101962,nm0574615
101969,nm0000288
101970,nm0001872
101971,nm0001111
101972,nm0340260
101979,nm0000671
101980,nm1417647
101981,nm0057150
101982,nm0003817
101989,nm0144657
101990,nm0144657
101991,nm0144657
101992,nm0001413
102014,nm1475594
102015,nm1564087
102016,nm1690482
102017,nm2026113
102024,nm0180404
102025,nm1208167
102026,nm0046347
102027,nm0332709
102034,nm0132064
102035,nm0075650
102036,nm0238475
102037,nm0420457
102044,nm0814280
102045,nm0949167
102046,nm1489270
102047,nm1775551
102052,nm0005028
102053,nm0005562
102054,nm0000369
102055,nm0000140
102061,nm0605224
102062,nm0576662
102063,nm0136572
102064,nm0260942
102071,nm0000809
102072,nm0149260
102073,nm0283997
102074,nm1460782
102081,nm0000782
102082,nm0142972
102083,nm0960379
102084,nm2282810
102091,nm0001376
102092,nm0075710
102093,nm0115730
102094,nm0134618
102101,nm0719637
102102,nm0126284
102103,nm0001015
102104,nm0674782
102111,nm0000367
102112,nm0180404
102113,nm0688143
102114,nm0001128
102121,nm0085407
102122,nm0117022
102123,nm0510168
102124,nm2179185
102131,nm0005476
102132,nm0001767
102133,nm0001131
102134,nm0001277
102141,nm0645411
102142,nm0594533
102143,nm0299210
102144,nm0475165
102151,nm0908094
102152,nm0005305
102153,nm1628077
102154,nm0348409
102161,nm0341743
102162,nm0209428
