,nconst
992,nm0000992
999,nm0000064
1000,nm0001768
1001,nm0001058
1002,nm0908919
1009,nm0001559
1010,nm0837959
1011,nm0829067
1012,nm0570615
1019,nm0603336
1020,nm0944073
1021,nm0617846
1022,nm0619802
1029,nm0594702
1030,nm0913843
1031,nm0654726
1032,nm0038951
1039,nm0002145
1040,nm0001777
1041,nm0384908
1042,nm0881829
1049,nm0000018
1050,nm0000059
1051,nm0001739
1052,nm0001452
1059,nm0249086
1060,nm0926183
1061,nm0874502
1062,nm0939931
1069,nm0000018
1070,nm0001571
1071,nm0468237
1072,nm0750640
1079,nm0000039
1080,nm0000053
1081,nm0001811
1082,nm0424318
1089,nm0590055
1090,nm0570192
1091,nm0531279
1092,nm0613130
1099,nm0338901
1100,nm0001088
1101,nm0532277
1102,nm0664390
1109,nm0393378
1110,nm0619991
1111,nm0441375
1112,nm0913796
1119,nm0000578
1120,nm0000404
1121,nm0001827
1122,nm0175091
1129,nm0011625
1130,nm0886870
1131,nm0002085
1132,nm0007234
1141,nm0036734
1142,nm0000805
1143,nm0002198
1150,nm0001792
1151,nm0949241
1152,nm0949241
1153,nm0590796
1162,nm0002198
1163,nm0002198
1164,nm0239447
1165,nm0074303
1173,nm0002019
1174,nm0130886
1175,nm0791021
1176,nm0842093
1183,nm0297293
1184,nm0044642
1185,nm0097449
1186,nm0525742
1194,nm0002075
1195,nm0593814
1196,nm0000051
1197,nm0665902
1204,nm0078514
1205,nm0449191
1206,nm0176039
1207,nm0006573
1215,nm0000027
1216,nm0590055
1217,nm0948772
1218,nm0696866
1225,nm0814773
1226,nm0716577
1227,nm0336390
1228,nm0000842
1235,nm0557407
1236,nm0557407
1237,nm0011625
1238,nm0000489
1246,nm0000634
1247,nm0517084
1248,nm0187754
1249,nm0405035
1256,nm0473228
1257,nm0893341
1258,nm0083234
1259,nm0002198
1269,nm0885098
1270,nm0933447
1271,nm0087926
1272,nm0025523
1279,nm0000044
1280,nm0000030
1281,nm0001559
1282,nm0768334
1289,nm0814773
1290,nm0001120
1291,nm0581028
1292,nm0076836
1299,nm0001695
1300,nm0791176
1301,nm0827101
1302,nm0350372
1309,nm0001471
1310,nm0085751
1311,nm0391096
1312,nm0163939
1319,nm0000003
1320,nm0582890
1321,nm0889024
1322,nm0293739
1329,nm0000493
1330,nm0625699
1331,nm0526184
1332,nm0706256
1339,nm0001536
1340,nm0605270
1341,nm0434593
1342,nm0586227
1349,nm0366247
1350,nm0001313
1351,nm0590796
1352,nm0001380
1359,nm0000348
1360,nm0001509
1361,nm0001463
1362,nm0926235
1369,nm0001050
1370,nm0001665
1371,nm0886888
1372,nm0758692
1379,nm0000034
1380,nm0477088
1381,nm0843401
1382,nm0928697
1389,nm0218633
1390,nm0634159
1391,nm0220997
1392,nm0549150
1399,nm0534045
